exp,tf,in_filtered_279,profile_id,biosample,knock_method,platform,own_logfc,own_gene_measured,regulon_size,has_self_edge,self_edge_weight,frac_regulon_default,n_studymates,max_jaccard,base_rate10,base_rate5,self_edge_sign_decision,ulm_unmasked_frac,ulm_unmasked_hit10,ulm_unmasked_hit5,ulm_masked_frac,ulm_masked_hit10,ulm_masked_hit5,ulm_masked_symmetric_frac,ulm_masked_symmetric_hit10,ulm_masked_symmetric_hit5,ulm_noselfedge_frac,ulm_noselfedge_hit10,ulm_noselfedge_hit5,ulm_noother_frac,ulm_noother_hit10,ulm_noother_hit5,propagated_unmasked_frac,propagated_unmasked_hit10,propagated_unmasked_hit5,propagated_masked_frac,propagated_masked_hit10,propagated_masked_hit5
DataSet_01_317,ARNT,False,GSE80995,CTB,shRNA,GPL10558,-0.63717,True,68,True,1.0,0.6617647058823529,0,0.16888888,0.09966777408637874,0.048726467331118496,default activation,0.48433420365535246,False,False,0.6488250652741514,False,False,0.41906005221932113,False,False,0.6462140992167101,False,False,0.4856396866840731,False,False,0.08093994778067885,True,False,0.15796344647519583,False,False
DataSet_03_016,ASCL1,False,GSE21216,DMS79,siRNA,GPL570,-0.7814057,True,69,True,1.0,0.4927536231884058,0,0.07692308,0.09161147902869757,0.046357615894039736,default activation,0.6422976501305483,False,False,0.6788511749347258,False,False,0.835509138381201,False,False,0.6827676240208878,False,False,0.6409921671018277,False,False,0.1566579634464752,False,False,0.5039164490861618,False,False
DataSet_01_206,ATF2,False,GSE50165,K562,siRNA,GPL6884,0.03513,True,119,True,1.0,0.4957983193277311,0,0.13366337,0.17770419426048564,0.10596026490066225,default activation,0.779373368146214,False,False,0.7754569190600522,False,False,0.5313315926892951,False,False,0.7911227154046997,False,False,0.779373368146214,False,False,0.8342036553524804,False,False,0.8289817232375979,False,False
DataSet_01_033,ATF3,True,GSE18457,HCT116,siRNA,GPL4133,-1.92622,True,108,True,-1.0,0.4444444444444444,0,0.14754099,0.08970099667774087,0.047619047619047616,PMID,0.23368146214099217,False,False,0.14490861618798956,False,False,0.2650130548302872,False,False,0.14882506527415143,False,False,0.2310704960835509,False,False,0.06135770234986945,True,False,0.4073107049608355,False,False
DataSet_02_054,ATF3,True,ENCSR123IMQ,K562,CRISPRi,-,-1.86056,True,108,True,-1.0,0.4444444444444444,0,0.14754099,0.08970099667774087,0.047619047619047616,PMID,0.46866840731070497,False,False,0.38642297650130547,False,False,0.3368146214099217,False,False,0.39033942558746737,False,False,0.46736292428198434,False,False,0.06788511749347259,True,False,0.10574412532637076,False,False
DataSet_02_180,ATF3,False,ENCSR045TQN,K562,siRNA,-,-0.33537,True,108,True,-1.0,0.4444444444444444,0,0.14754099,0.08970099667774087,0.047619047619047616,PMID,0.6462140992167101,False,False,0.6305483028720626,False,False,0.6070496083550914,False,False,0.6305483028720626,False,False,0.6462140992167101,False,False,0.41383812010443866,False,False,0.5496083550913838,False,False
DataSet_03_017,ATF3,True,GSE74362,HCT116,knockout,GPL10558,-1.260501,True,108,True,-1.0,0.4444444444444444,0,0.14754099,0.08970099667774087,0.047619047619047616,PMID,0.8159268929503917,False,False,0.6109660574412533,False,False,0.32114882506527415,False,False,0.6161879895561357,False,False,0.814621409921671,False,False,0.01174934725848564,True,True,0.04960835509138381,True,True
DataSet_03_018,ATF4,True,GSE136614,A375,siRNA,GPL570,-2.426447,True,121,True,1.0,0.0,0,0.18134715,0.1479028697571744,0.09381898454746136,regulon,0.006527415143603133,True,True,0.009138381201044387,True,True,0.0039164490861618795,True,True,0.009138381201044387,True,True,0.006527415143603133,True,True,0.09007832898172324,True,False,0.16449086161879894,False,False
DataSet_01_058,BACH1,True,GSE28050,HEK293T,esiRNA,GPL570,-2.42937,True,15,False,,0.4,0,0.15,0.17940199335548174,0.10520487264673312,,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0026109660574412533,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.018276762402088774,True,True,0.07571801566579635,True,False
DataSet_01_059,BACH1,True,GSE28050,HEK293T,siRNA,GPL570,-2.50171,True,15,False,,0.4,0,0.15,0.17940199335548174,0.10520487264673312,,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.016971279373368148,True,True,0.048302872062663184,True,True
