exp,tf,a,m,regulon_size,multi_tf
DataSet_02_042,SP2,-0.2530714065169319,-2.02074,22,False
DataSet_02_048,SMAD5,-5.646553118968551,-1.81161,35,False
DataSet_02_054,ATF3,-0.8706671233402149,-1.86056,107,True
DataSet_02_055,DLX1,0.5230794975499413,-1.25001,10,False
DataSet_02_061,RFX5,-0.0064285108314602706,-1.58857,23,False
DataSet_02_063,TRIM28,-0.19160921386963886,-1.46428,6,False
DataSet_02_071,TFDP1,0.9224512772211514,-2.45296,31,False
DataSet_02_075,HMGA1,1.5021438721323221,-1.97429,72,True
DataSet_02_082,ZBTB33,-0.48852982012212176,-1.43836,11,False
DataSet_02_104,HDGF,-0.47226489897798446,-3.16823,7,False
DataSet_02_172,ZFX,1.0329974145138179,-1.76132,5,True
DataSet_02_185,CTCF,1.9938663829112473,-1.26009,136,True
DataSet_02_192,MAX,-0.4893070527641799,-1.07684,48,False
DataSet_02_206,ZFX,0.2188986864688561,-2.40204,5,True
DataSet_03_004,AR,2.0126708152908748,-1.84288,492,True
DataSet_03_005,AR,1.1589776921373933,-1.765544,492,True
DataSet_03_007,AR,-0.2758224467117826,-2.045341,492,True
DataSet_03_013,ARID1A,0.4059452537528335,-1.27036,8,True
DataSet_03_017,ATF3,0.4928538292947399,-1.260501,107,True
DataSet_03_018,ATF4,-6.549850659750964,-2.426447,120,False
DataSet_03_026,BCL6,-4.02016930280074,-1.080475,98,False
DataSet_03_049,CEBPB,-6.7540396347902245,-2.360576,443,False
DataSet_03_056,CTCF,-1.6804725472110948,-2.009543,136,True
DataSet_03_059,CTNNB1,1.1547005692331425,-3.872987,330,False
DataSet_03_060,E2F1,-2.6374927638981385,-1.801817,305,False
DataSet_03_063,E2F7,1.3859216819391942,-1.445059,7,False
DataSet_03_065,EP300,-0.3686094358460023,-1.72724,73,False
DataSet_03_073,ETS1,-3.531222654964736,-1.201786,205,True
DataSet_03_074,ETS1,-3.4279718539793174,-1.195833,205,True
DataSet_03_075,ETV6,1.6815126527744872,-2.238372,27,True
DataSet_03_078,FLI1,5.612360201658132,-1.915758,92,True
DataSet_03_080,FOXA1,-3.339478766457981,-1.392308,69,True
DataSet_03_085,FOXD1,-0.2690173040531962,-2.771563,6,False
DataSet_03_087,FOXF2,1.8214117056331676,-1.079575,12,False
DataSet_03_090,FOXM1,-5.882752316544352,-3.169468,96,True
DataSet_03_091,FOXM1,-0.8123194324598395,-2.553802,96,True
DataSet_03_093,FOXM1,-1.211010145979575,-1.980335,96,True
DataSet_03_096,FOXO1,-1.5827338717373483,-3.68757,264,False
DataSet_03_100,GATA2,-1.9183840031879067,-1.408143,96,False
DataSet_03_108,GATA6,-0.26417374972757895,-1.123892,83,True
DataSet_03_110,GATA6,-2.4465502521038984,-1.090599,83,True
DataSet_03_113,GRHL3,-0.8469353437455203,-1.841626,28,True
DataSet_03_114,HDAC3,1.0758214944490414,-1.015974,27,False
DataSet_03_116,HES6,-0.5664293145183573,-1.285988,9,True
DataSet_03_117,HES6,-0.5545253816514348,-1.006761,9,True
DataSet_03_119,HIF1A,-1.3868297303350887,-1.099027,446,True
DataSet_03_122,HINFP,0.5908192244318177,-1.047697,9,True
DataSet_03_123,HINFP,1.2471973824194542,-1.642653,9,True
DataSet_03_124,HMGA1,-1.9489690067052996,-1.659763,72,True
DataSet_03_127,HOXB7,-0.03716741987522106,-1.154571,23,True
DataSet_03_129,HSF1,-5.578359716615988,-1.158558,97,True
DataSet_03_143,JUN,-3.3300469171501628,-1.909138,636,True
DataSet_03_148,KLF5,-4.080959650725427,-1.296036,75,True
DataSet_03_149,KLF5,-1.9037258334097744,-1.755019,75,True
DataSet_03_150,KLF5,0.8308688462640976,-1.362161,75,True
DataSet_03_151,KLF5,-0.4072360611709348,-1.889237,75,True
DataSet_03_155,MAFB,-2.1081119838704256,-2.11,45,False
DataSet_03_165,MITF,-5.5771788350568094,-1.083814,108,True
DataSet_03_168,MITF,-2.5759091407363544,-1.354155,108,True
DataSet_03_173,MYB,-2.0887800086416313,-2.037667,176,True
DataSet_03_178,MYC,-7.589859518633464,-1.985984,844,True
DataSet_03_189,NCOA1,-10.96628513840362,-3.616286,89,False
DataSet_03_190,NCOA2,-7.651746485745126,-2.297202,60,False
DataSet_03_191,NCOA3,4.5962140992975185,-1.881659,73,False
DataSet_03_192,NCOR1,-0.8855365438803918,-1.994582,87,False
DataSet_03_202,NR2F2,-3.6189247873627126,-1.622046,78,True
DataSet_03_205,PARK7,-0.9813013104194267,-4.931629,7,False
DataSet_03_207,PBX1,0.8317447258144453,-1.86539,61,True
DataSet_03_208,PBX1,0.5802173035909355,-1.237863,61,True
DataSet_03_209,PBX1,0.9561688561408095,-1.123829,61,True
DataSet_03_214,PPARG,-2.523201756035437,-1.296667,342,False
DataSet_03_217,PRRX1,0.07936238467227065,-1.515082,6,False
DataSet_03_222,RELA,-6.020997496855356,-1.321429,539,True
DataSet_03_223,RELA,-7.242631965337109,-1.413095,539,True
DataSet_03_225,RELB,-0.7495244279050252,-1.64003,55,False
DataSet_03_228,REST,-17.431042075951844,-1.235054,73,True
DataSet_03_229,SATB1,-4.413994235307215,-1.656688,44,False
DataSet_03_235,SMARCA4,6.180491984730441,-2.833681,10,False
DataSet_03_236,SMARCC1,0.5645791540546473,-2.48754,8,False
DataSet_03_237,SOX11,-1.0253784476757177,-2.317003,11,True
DataSet_03_238,SOX11,-1.2198187101608942,-3.157368,11,True
DataSet_03_239,SOX11,-5.748161652078844,-2.349537,11,True
DataSet_03_241,SOX2,0.09249182941807982,-2.290736,87,True
DataSet_03_242,SOX2,-2.004076786511606,-3.135283,87,True
DataSet_03_244,SOX2,-6.711877837291957,-3.879367,87,True
DataSet_03_246,SOX4,1.4314181199457832,-1.275064,21,True
DataSet_03_249,SP1,0.8249374272234761,-1.225976,1259,True
DataSet_03_251,SP1,-1.4925953262498,-3.774837,1259,True
DataSet_03_253,SPIB,-0.5057875253787211,-1.325308,17,False
DataSet_03_255,SSRP1,0.23714800004663497,-1.9457,146,False
DataSet_03_256,STAT1,-1.7787618787664228,-1.1724,293,True
DataSet_03_258,STAT3,-4.7905313026392795,-1.738924,424,True
DataSet_03_259,STAT3,-0.07080473540879025,-1.056171,424,True
DataSet_03_260,STAT3,0.9103004710173497,-1.398193,424,True
DataSet_03_261,STAT3,-4.874516637514314,-1.941823,424,True
DataSet_03_262,STAT3,7.680256292104473,-3.033125,424,True
DataSet_03_264,STAT6,1.6027514408501524,-1.961393,123,True
DataSet_03_267,TCF7L1,-1.54736983646252,-2.212681,6,False
DataSet_03_274,TFAP2C,-1.269090566768583,-1.867441,33,True
DataSet_03_275,TFE3,-1.3148595552957856,-1.444595,36,False
DataSet_03_277,TP53,-0.8732770057611067,-1.072749,930,True
DataSet_03_284,TWIST2,-0.873998874604058,-2.501369,33,False
DataSet_03_287,ZHX2,-1.2147748806382237,-1.334165,10,False
DataSet_04_015,NKRF,-0.5009285356043265,-1.789867,9,False
DataSet_04_019,SMAD2,2.333546340477541,-1.081641,103,True
DataSet_04_020,SMAD4,-0.9694523360551986,-1.664538,136,True
DataSet_04_022,STAT1,0.9191215021023378,-1.722998,293,True
DataSet_04_024,YBX1,0.5910929730684946,-1.881032,90,True
DataSet_04_036,SMAD2,0.3526965124074933,-1.559244,103,True
DataSet_04_037,SMAD4,-1.0271633212262115,-1.404555,136,True
DataSet_04_041,YBX1,-2.4380609575514174,-2.02517,90,True
