exp,tf,ulm,noself,masked,has_self,sign,size,max_jac,gc_frac
DataSet_01_090,NR2F2,0.4281984334203655,0.5509138381201044,0.5469973890339426,True,1.0,79,0.20175438596491227,0.4281984334203655
DataSet_01_091,ETV6,0.9778067885117493,0.9778067885117493,0.9765013054830287,False,0.0,27,0.09615384615384616,0.9778067885117493
DataSet_01_094,NANOG,0.07571801566579635,0.20234986945169714,0.20757180156657964,True,1.0,61,0.21875,0.07571801566579635
DataSet_01_095,POU5F1,0.007832898172323759,0.014360313315926894,0.010443864229765013,True,1.0,95,0.21875,0.007832898172323759
DataSet_01_096,SOX2,0.0013054830287206266,0.006527415143603133,0.0026109660574412533,True,1.0,91,0.19230769230769232,0.0013054830287206266
DataSet_01_098,SALL4,0.06266318537859007,0.2558746736292428,0.26240208877284593,True,1.0,21,0.10714285714285714,0.06266318537859007
DataSet_01_099,FOS,0.8838120104438643,0.8668407310704961,0.8681462140992167,True,-1.0,344,0.31675392670157065,0.8838120104438643
DataSet_01_101,IRF6,0.1279373368146214,0.5535248041775457,0.5469973890339426,True,1.0,16,0.1,0.1279373368146214
DataSet_01_103,HNF1B,0.018276762402088774,0.0195822454308094,0.020887728459530026,True,1.0,65,0.1724137931034483,0.018276762402088774
DataSet_01_105,FOXA1,0.04960835509138381,0.04960835509138381,0.04960835509138381,False,0.0,70,0.19883040935672514,0.04960835509138381
DataSet_01_112,HSF1,0.2402088772845953,0.3838120104438642,0.381201044386423,True,1.0,103,0.1415929203539823,0.2402088772845953
DataSet_01_114,ARID1A,0.7898172323759791,0.7898172323759791,0.7898172323759791,False,0.0,8,0.21428571428571427,0.7898172323759791
DataSet_01_117,ID1,0.7924281984334204,0.835509138381201,0.8211488250652742,True,1.0,79,0.19791666666666666,0.7924281984334204
DataSet_01_118,ID1,0.0835509138381201,0.16971279373368145,0.16579634464751958,True,1.0,79,0.19791666666666666,0.0835509138381201
DataSet_01_121,ZIC2,0.5182767624020888,0.5182767624020888,0.5182767624020888,False,0.0,7,0.14285714285714285,0.5182767624020888
DataSet_01_123,ZNF91,0.4699738903394256,0.4699738903394256,0.4699738903394256,False,0.0,49,0.08620689655172414,0.4699738903394256
DataSet_01_132,EGR4,0.05221932114882506,0.05221932114882506,0.05221932114882506,False,0.0,15,0.10526315789473684,0.05221932114882506
DataSet_01_135,SPDEF,0.04960835509138381,0.14490861618798956,0.1514360313315927,True,1.0,20,0.13636363636363635,0.04960835509138381
DataSet_01_136,REST,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,False,0.0,75,0.0625,0.0013054830287206266
DataSet_01_138,IKZF1,0.9673629242819843,0.9673629242819843,0.9673629242819843,False,0.0,52,0.12,0.9673629242819843
DataSet_01_142,LEF1,0.028720626631853787,0.11618798955613577,0.10966057441253264,True,1.0,120,0.17302798982188294,0.028720626631853787
DataSet_01_145,REST,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,False,0.0,75,0.0625,0.0013054830287206266
DataSet_01_147,EHF,0.391644908616188,0.391644908616188,0.391644908616188,False,0.0,13,0.125,0.391644908616188
DataSet_01_148,MYBL2,0.0926892950391645,0.19973890339425587,0.19973890339425587,True,1.0,53,0.11320754716981132,0.0926892950391645
DataSet_01_149,ETS2,0.8407310704960835,0.95822454308094,0.9569190600522193,True,1.0,111,0.2111111111111111,0.8407310704960835
DataSet_01_150,TFAP2C,0.0039164490861618795,0.007832898172323759,0.009138381201044387,True,1.0,35,0.08695652173913043,0.0039164490861618795
DataSet_01_151,TEAD4,0.03524804177545692,0.03524804177545692,0.03524804177545692,False,0.0,12,0.125,0.03524804177545692
DataSet_01_154,STAT1,0.412532637075718,0.48433420365535246,0.48433420365535246,True,1.0,305,0.1967741935483871,0.412532637075718
DataSet_01_155,HSF1,0.007832898172323759,0.02741514360313316,0.02610966057441253,True,1.0,103,0.1415929203539823,0.007832898172323759
DataSet_01_156,HIF1A,0.1422976501305483,0.04699738903394256,0.031331592689295036,True,-1.0,463,0.16429495472186287,0.1422976501305483
DataSet_01_162,ELK1,0.2950391644908616,0.2950391644908616,0.2950391644908616,False,0.0,61,0.11258278145695365,0.2950391644908616
DataSet_01_164,JUN,0.024804177545691905,0.02741514360313316,0.02741514360313316,True,1.0,662,0.4134831460674157,0.024804177545691905
DataSet_01_165,MAF,0.02741514360313316,0.04699738903394256,0.04699738903394256,True,1.0,65,0.11494252873563218,0.02741514360313316
DataSet_01_166,NFATC3,0.6932114882506527,0.6932114882506527,0.6932114882506527,False,0.0,41,0.12,0.6932114882506527
DataSet_01_168,STAT3,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,True,1.0,437,0.1967741935483871,0.0026109660574412533
DataSet_01_169,HOXB7,0.1122715404699739,0.1122715404699739,0.10704960835509138,False,0.0,23,0.10344827586206896,0.1122715404699739
DataSet_01_170,HOXB7,0.9647519582245431,0.9647519582245431,0.9647519582245431,False,0.0,23,0.10344827586206896,0.9647519582245431
DataSet_01_171,FOSL1,0.5234986945169713,0.5234986945169713,0.5195822454308094,False,0.0,51,0.19402985074626866,0.5234986945169713
DataSet_01_173,ESRRG,0.12532637075718014,0.26762402088772846,0.26762402088772846,True,1.0,29,0.18181818181818182,0.12532637075718014
DataSet_01_175,TP53,0.005221932114882507,0.009138381201044387,0.005221932114882507,True,1.0,980,0.1970649895178197,0.005221932114882507
DataSet_01_176,NR2F2,0.018276762402088774,0.2963446475195822,0.283289817232376,True,1.0,79,0.20175438596491227,0.018276762402088774
DataSet_01_177,NR2F2,0.0195822454308094,0.3381201044386423,0.3342036553524804,True,1.0,79,0.20175438596491227,0.0195822454308094
DataSet_01_180,STAT3,0.9595300261096605,0.9725848563968669,0.9725848563968669,True,1.0,437,0.1967741935483871,0.9595300261096605
DataSet_01_183,TP63,0.033942558746736295,0.04308093994778068,0.04308093994778068,True,1.0,206,0.21611721611721613,0.033942558746736295
DataSet_01_184,STAT3,0.005221932114882507,0.006527415143603133,0.006527415143603133,True,1.0,437,0.1967741935483871,0.005221932114882507
DataSet_01_185,TCF4,0.7650130548302873,0.7650130548302873,0.7689295039164491,False,0.0,58,0.18243243243243243,0.7650130548302873
DataSet_01_189,SPDEF,0.22845953002610966,0.9347258485639687,0.9308093994778068,True,1.0,20,0.13636363636363635,0.22845953002610966
DataSet_01_192,AR,0.360313315926893,0.46866840731070497,0.43994778067885115,True,1.0,514,0.17023445463812437,0.360313315926893
DataSet_01_196,TP63,0.11357702349869452,0.12924281984334204,0.1279373368146214,True,1.0,206,0.21611721611721613,0.11357702349869452
DataSet_01_198,TP63,0.07571801566579635,0.0926892950391645,0.09399477806788512,True,1.0,206,0.21611721611721613,0.07571801566579635
DataSet_01_200,TP63,0.23237597911227154,0.28067885117493474,0.2793733681462141,True,1.0,206,0.21611721611721613,0.23237597911227154
DataSet_01_203,XBP1,0.195822454308094,0.45691906005221933,0.45822454308093996,True,1.0,57,0.12745098039215685,0.195822454308094
DataSet_01_204,XBP1,0.022193211488250653,0.07049608355091384,0.07180156657963446,True,1.0,57,0.12745098039215685,0.022193211488250653
DataSet_01_211,REST,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,False,0.0,75,0.0625,0.0013054830287206266
DataSet_01_213,SOX11,0.11879895561357702,0.11879895561357702,0.11879895561357702,False,0.0,12,0.058823529411764705,0.11879895561357702
DataSet_01_214,BCLAF1,0.020887728459530026,0.5496083550913838,0.5274151436031331,True,1.0,9,0.07692307692307693,0.020887728459530026
DataSet_01_217,TAL1,0.08485639686684072,0.15013054830287206,0.1475195822454308,True,1.0,96,0.09565217391304348,0.08485639686684072
DataSet_01_220,HIF1A,0.01174934725848564,0.009138381201044387,0.007832898172323759,True,-1.0,463,0.16429495472186287,0.01174934725848564
DataSet_01_222,KLF9,0.43733681462140994,0.43733681462140994,0.43733681462140994,False,0.0,26,0.1111111111111111,0.43733681462140994
DataSet_01_223,FOXM1,0.04308093994778068,0.2519582245430809,0.24673629242819844,True,1.0,97,0.12605042016806722,0.04308093994778068
DataSet_01_224,HIF1A,0.028720626631853787,0.016971279373368148,0.016971279373368148,True,-1.0,463,0.16429495472186287,0.028720626631853787
DataSet_01_226,KLF2,0.4451697127937337,0.5809399477806788,0.5757180156657964,True,1.0,67,0.1111111111111111,0.4451697127937337
DataSet_01_228,HIF1A,0.014360313315926894,0.007832898172323759,0.005221932114882507,True,-1.0,463,0.16429495472186287,0.014360313315926894
DataSet_01_233,FOXA1,0.14490861618798956,0.14490861618798956,0.13968668407310705,False,0.0,70,0.19883040935672514,0.14490861618798956
DataSet_01_238,NFYB,0.08746736292428199,0.08746736292428199,0.08746736292428199,False,0.0,40,0.46511627906976744,0.08746736292428199
DataSet_01_244,ETS1,0.031331592689295036,0.0639686684073107,0.05613577023498695,True,1.0,216,0.2111111111111111,0.031331592689295036
DataSet_01_246,TLX1,0.04308093994778068,0.9660574412532638,0.95822454308094,True,1.0,10,0.09523809523809523,0.04308093994778068
DataSet_01_247,GATA6,0.06135770234986945,0.10704960835509138,0.10443864229765012,True,1.0,85,0.12690355329949238,0.06135770234986945
DataSet_01_248,SMAD2,0.1801566579634465,0.1801566579634465,0.17754569190600522,False,0.0,108,0.3686635944700461,0.1801566579634465
DataSet_01_255,YBX1,0.5052219321148825,0.6710182767624021,0.6710182767624021,True,1.0,92,0.08620689655172414,0.5052219321148825
DataSet_01_256,YBX1,0.028720626631853787,0.12663185378590078,0.12402088772845953,True,1.0,92,0.08620689655172414,0.028720626631853787
DataSet_01_257,YBX1,0.6736292428198434,0.7480417754569191,0.7467362924281984,True,1.0,92,0.08620689655172414,0.6736292428198434
DataSet_01_258,YBX1,0.07441253263707572,0.2245430809399478,0.2258485639686684,True,1.0,92,0.08620689655172414,0.07441253263707572
DataSet_01_260,SOX4,0.02349869451697128,0.1762402088772846,0.17885117493472585,True,1.0,24,0.075,0.02349869451697128
DataSet_01_261,NFKB2,0.06919060052219321,0.2741514360313316,0.2793733681462141,True,1.0,77,0.3333333333333333,0.06919060052219321
DataSet_01_267,FOXO3,0.20887728459530025,0.3002610966057441,0.2989556135770235,True,1.0,197,0.21065989847715735,0.20887728459530025
DataSet_01_269,SIX4,0.5718015665796344,0.5718015665796344,0.5718015665796344,False,0.0,8,0.15384615384615385,0.5718015665796344
DataSet_01_277,SALL4,0.25326370757180156,0.5796344647519582,0.587467362924282,True,1.0,21,0.10714285714285714,0.25326370757180156
DataSet_01_280,ESRRA,0.1409921671018277,0.2885117493472585,0.2950391644908616,True,1.0,49,0.18181818181818182,0.1409921671018277
DataSet_01_281,MSX1,0.14882506527415143,0.031331592689295036,0.03263707571801567,True,-1.0,27,0.1388888888888889,0.14882506527415143
DataSet_01_282,IRF7,0.3198433420365535,0.3198433420365535,0.3237597911227154,False,0.0,34,0.3148148148148148,0.3198433420365535
DataSet_01_283,AHR,0.031331592689295036,0.0391644908616188,0.037859007832898174,True,1.0,194,0.1688888888888889,0.031331592689295036
DataSet_01_295,TFAP4,0.4621409921671018,0.5052219321148825,0.5796344647519582,True,1.0,37,0.08208955223880597,0.4621409921671018
DataSet_01_299,SOX7,0.12532637075718014,0.12532637075718014,0.12532637075718014,False,0.0,6,0.09090909090909091,0.12532637075718014
DataSet_01_300,SOX17,0.0587467362924282,0.11488250652741515,0.11618798955613577,True,1.0,46,0.1282051282051282,0.0587467362924282
DataSet_01_304,ETV5,0.9738903394255874,0.9738903394255874,0.9738903394255874,False,0.0,23,0.0975609756097561,0.9738903394255874
DataSet_01_305,HOXA5,0.4308093994778068,0.4308093994778068,0.42950391644908614,False,0.0,16,0.10526315789473684,0.4308093994778068
DataSet_01_306,NR2E1,0.2349869451697128,0.09530026109660575,0.097911227154047,True,-1.0,17,0.09090909090909091,0.2349869451697128
DataSet_01_308,SOX9,0.13838120104438642,0.17754569190600522,0.17493472584856398,True,1.0,106,0.10119047619047619,0.13838120104438642
DataSet_01_309,SOX9,0.13838120104438642,0.17754569190600522,0.17493472584856398,True,1.0,106,0.10119047619047619,0.13838120104438642
DataSet_01_312,TFAP2C,0.03263707571801567,0.1475195822454308,0.14882506527415143,True,1.0,35,0.08695652173913043,0.03263707571801567
DataSet_01_318,ELK3,0.44386422976501305,0.44386422976501305,0.44386422976501305,False,0.0,28,0.1,0.44386422976501305
DataSet_01_324,MYC,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,-1.0,887,0.15890751086281812,0.0013054830287206266
DataSet_01_327,TP63,0.015665796344647518,0.03524804177545692,0.033942558746736295,True,1.0,206,0.21611721611721613,0.015665796344647518
DataSet_01_330,TP63,0.015665796344647518,0.03524804177545692,0.033942558746736295,True,1.0,206,0.21611721611721613,0.015665796344647518
DataSet_01_332,TOX,0.014360313315926894,0.3733681462140992,0.37989556135770236,True,1.0,5,0.07692307692307693,0.014360313315926894
DataSet_01_333,HOXC6,0.3342036553524804,0.3342036553524804,0.3328981723237598,False,0.0,12,0.13333333333333333,0.3342036553524804
DataSet_01_336,GRHL3,0.2010443864229765,0.2010443864229765,0.2010443864229765,False,0.0,30,0.19672131147540983,0.2010443864229765
DataSet_01_337,REST,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,False,0.0,75,0.0625,0.0013054830287206266
DataSet_01_338,REST,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,False,0.0,75,0.0625,0.0013054830287206266
DataSet_01_339,KLF4,0.8133159268929504,0.8759791122715405,0.8746736292428199,True,1.0,129,0.11971830985915492,0.8133159268929504
DataSet_01_340,KLF7,0.4556135770234987,0.7819843342036553,0.7872062663185379,True,1.0,11,0.18181818181818182,0.4556135770234987
DataSet_01_342,KLF7,0.05613577023498695,0.47911227154047,0.4830287206266319,True,1.0,11,0.18181818181818182,0.05613577023498695
DataSet_01_347,GATA3,0.7571801566579635,0.8133159268929504,0.8067885117493473,True,1.0,192,0.08766233766233766,0.7571801566579635
DataSet_01_348,HIF1A,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,-1.0,463,0.16429495472186287,0.0013054830287206266
DataSet_01_349,SOX2,0.006527415143603133,0.010443864229765013,0.013054830287206266,True,1.0,91,0.19230769230769232,0.006527415143603133
DataSet_01_354,ELK1,0.5248041775456919,0.5248041775456919,0.5248041775456919,False,0.0,61,0.11258278145695365,0.5248041775456919
DataSet_01_356,ETV4,0.8368146214099217,0.9138381201044387,0.9138381201044387,True,1.0,68,0.12101910828025478,0.8368146214099217
DataSet_01_357,CDX2,0.6879895561357703,0.7480417754569191,0.7493472584856397,True,1.0,78,0.23232323232323232,0.6879895561357703
DataSet_01_360,SOX17,0.2154046997389034,0.3342036553524804,0.3328981723237598,True,1.0,46,0.1282051282051282,0.2154046997389034
DataSet_02_015,HOXB9,0.19973890339425587,0.19973890339425587,0.19973890339425587,False,0.0,7,0.16666666666666666,0.19973890339425587
DataSet_02_016,JUND,0.018276762402088774,0.024804177545691905,0.024804177545691905,True,1.0,108,0.21910112359550563,0.018276762402088774
DataSet_02_018,STAT2,0.07571801566579635,0.07571801566579635,0.07571801566579635,False,0.0,50,0.2153846153846154,0.07571801566579635
DataSet_02_023,STAT1,0.8955613577023499,0.9151436031331592,0.9151436031331592,True,1.0,305,0.1967741935483871,0.8955613577023499
DataSet_02_025,USF2,0.8681462140992167,0.8942558746736292,0.8877284595300261,True,1.0,115,0.37349397590361444,0.8681462140992167
DataSet_02_026,USF1,0.7702349869451697,0.8120104438642297,0.8120104438642297,True,1.0,227,0.37349397590361444,0.7702349869451697
DataSet_02_032,NFE2L1,0.015665796344647518,0.028720626631853787,0.030026109660574413,True,1.0,9,0.2,0.015665796344647518
DataSet_02_033,TEAD2,0.8002610966057441,0.8002610966057441,0.8002610966057441,False,0.0,6,0.15384615384615385,0.8002610966057441
DataSet_02_039,RELA,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,1.0,560,0.5608214849921012,0.0013054830287206266
DataSet_02_040,TEAD4,0.741514360313316,0.741514360313316,0.741514360313316,False,0.0,12,0.125,0.741514360313316
DataSet_02_042,SP2,0.5600522193211488,0.5600522193211488,0.5600522193211488,False,0.0,24,0.1,0.5600522193211488
DataSet_02_048,SMAD5,0.006527415143603133,0.006527415143603133,0.006527415143603133,False,0.0,35,0.2976190476190476,0.006527415143603133
DataSet_02_054,ATF3,0.46866840731070497,0.39033942558746737,0.38511749347258484,True,-1.0,110,0.14754098360655737,0.46866840731070497
DataSet_02_055,DLX1,0.6971279373368147,0.6971279373368147,0.6971279373368147,False,0.0,10,0.2222222222222222,0.6971279373368147
DataSet_02_061,RFX5,0.5195822454308094,0.660574412532637,0.664490861618799,True,1.0,26,0.6428571428571429,0.5195822454308094
DataSet_02_063,TRIM28,0.5731070496083551,0.5731070496083551,0.5704960835509139,False,0.0,6,0.2,0.5731070496083551
DataSet_02_071,TFDP1,0.8929503916449086,0.8929503916449086,0.8929503916449086,False,0.0,31,0.14035087719298245,0.8929503916449086
DataSet_02_075,HMGA1,0.7480417754569191,0.8289817232375979,0.8263707571801566,True,1.0,74,0.125,0.7480417754569191
DataSet_02_082,ZBTB33,0.21801566579634465,0.21801566579634465,0.21801566579634465,False,0.0,11,0.16666666666666666,0.21801566579634465
DataSet_02_104,HDGF,0.3133159268929504,0.3133159268929504,0.3133159268929504,False,0.0,7,0.23076923076923078,0.3133159268929504
DataSet_02_172,ZFX,0.7180156657963447,0.7180156657963447,0.7180156657963447,False,0.0,5,0.14285714285714285,0.7180156657963447
DataSet_02_185,CTCF,0.8720626631853786,0.8955613577023499,0.8942558746736292,True,1.0,147,0.08196721311475409,0.8720626631853786
DataSet_02_192,MAX,0.2989556135770235,0.38903394255874674,0.3877284595300261,True,1.0,50,0.18181818181818182,0.2989556135770235
DataSet_02_206,ZFX,0.42950391644908614,0.42950391644908614,0.4308093994778068,False,0.0,5,0.14285714285714285,0.42950391644908614
DataSet_03_004,AR,0.9360313315926893,0.9477806788511749,0.9503916449086162,True,1.0,514,0.17023445463812437,0.9360313315926893
DataSet_03_005,AR,0.7767624020887729,0.8159268929503917,0.8185378590078329,True,1.0,514,0.17023445463812437,0.7767624020887729
DataSet_03_007,AR,0.26240208877284593,0.39033942558746737,0.36945169712793735,True,1.0,514,0.17023445463812437,0.26240208877284593
DataSet_03_013,ARID1A,0.5052219321148825,0.5052219321148825,0.5052219321148825,False,0.0,8,0.21428571428571427,0.5052219321148825
DataSet_03_017,ATF3,0.8159268929503917,0.6161879895561357,0.6109660574412533,True,-1.0,110,0.14754098360655737,0.8159268929503917
DataSet_03_018,ATF4,0.006527415143603133,0.009138381201044387,0.009138381201044387,True,1.0,128,0.18134715025906736,0.006527415143603133
DataSet_03_026,BCL6,0.0026109660574412533,0.0013054830287206266,0.0013054830287206266,True,-1.0,101,0.14965986394557823,0.0026109660574412533
DataSet_03_049,CEBPB,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,1.0,451,0.26153846153846155,0.0013054830287206266
DataSet_03_056,CTCF,0.013054830287206266,0.09007832898172324,0.08746736292428199,True,1.0,147,0.08196721311475409,0.013054830287206266
DataSet_03_059,CTNNB1,0.9516971279373369,0.783289817232376,0.7976501305483029,True,-1.0,341,0.23450134770889489,0.9516971279373369
DataSet_03_060,E2F1,0.010443864229765013,0.022193211488250653,0.009138381201044387,True,1.0,315,0.21303258145363407,0.010443864229765013
DataSet_03_063,E2F7,0.7506527415143603,0.7506527415143603,0.7506527415143603,False,0.0,7,0.16666666666666666,0.7506527415143603
DataSet_03_065,EP300,0.5391644908616188,0.5391644908616188,0.5313315926892951,False,0.0,74,0.13768115942028986,0.5391644908616188
DataSet_03_073,ETS1,0.02741514360313316,0.04046997389033943,0.04177545691906005,True,1.0,216,0.2111111111111111,0.02741514360313316
DataSet_03_074,ETS1,0.033942558746736295,0.05483028720626632,0.05483028720626632,True,1.0,216,0.2111111111111111,0.033942558746736295
DataSet_03_075,ETV6,0.8590078328981723,0.8590078328981723,0.860313315926893,False,0.0,27,0.09615384615384616,0.8590078328981723
DataSet_03_078,FLI1,0.9817232375979112,0.9882506527415144,0.9882506527415144,True,1.0,97,0.31932773109243695,0.9817232375979112
DataSet_03_080,FOXA1,0.020887728459530026,0.020887728459530026,0.020887728459530026,False,0.0,70,0.19883040935672514,0.020887728459530026
DataSet_03_085,FOXD1,0.31723237597911225,0.31723237597911225,0.31462140992167104,False,0.0,6,0.15,0.31723237597911225
DataSet_03_087,FOXF2,0.9242819843342036,0.9242819843342036,0.9242819843342036,False,0.0,13,0.10526315789473684,0.9242819843342036
DataSet_03_090,FOXM1,0.009138381201044387,0.01174934725848564,0.01174934725848564,True,1.0,97,0.12605042016806722,0.009138381201044387
DataSet_03_091,FOXM1,0.04960835509138381,0.20757180156657964,0.20365535248041775,True,1.0,97,0.12605042016806722,0.04960835509138381
DataSet_03_093,FOXM1,0.020887728459530026,0.21409921671018275,0.21018276762402088,True,1.0,97,0.12605042016806722,0.020887728459530026
DataSet_03_096,FOXO1,0.08877284595300261,0.12140992167101827,0.1227154046997389,True,1.0,280,0.21065989847715735,0.08877284595300261
DataSet_03_100,GATA2,0.05483028720626632,0.08485639686684072,0.08485639686684072,True,1.0,100,0.1796116504854369,0.05483028720626632
DataSet_03_108,GATA6,0.2689295039164491,0.3328981723237598,0.3289817232375979,True,1.0,85,0.12690355329949238,0.2689295039164491
