exp,tf,study,cell,own_logfc,in_filtered_279,masked_frac,masked_sym_frac,base_rate10,base_rate10_sym,n_within_study_mates,n_same_cell_other_study_mates,in_106
DataSet_01_197,TP63,GSE4975,HaCaT RG,0.0,False,0.10835509138381201,0.07180156657963446,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_198,TP63,GSE4975,SCC-1,-1.73883,True,0.09399477806788512,0.08485639686684072,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_199,TP63,GSE4975,SCC-1,0.0,False,0.47911227154047,0.7715404699738904,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_200,TP63,GSE4975,HaCaT,-1.21925,True,0.2793733681462141,0.6227154046997389,0.14719101123595504,0.14157303370786517,0,1,False
DataSet_01_201,TP63,GSE4975,SCC-012,-0.69051,False,0.009138381201044387,0.007832898172323759,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_202,TP63,GSE4975,SCC-6,-0.75747,False,0.0587467362924282,0.048302872062663184,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_203,XBP1,GSE49953,T47D,-2.69096,True,0.45822454308093996,0.2898172323759791,0.112707182320442,0.11712707182320442,0,0,False
DataSet_01_204,XBP1,GSE49953,MDA-MB231,-1.83171,True,0.07180156657963446,0.013054830287206266,0.112707182320442,0.11712707182320442,0,7,False
DataSet_01_205,HIC1,GSE50061,HBL100,0.42471,False,1.0,0.9986945169712794,0.13922651933701657,0.1580110497237569,0,0,False
DataSet_01_206,ATF2,GSE50165,K562,0.03513,False,0.7754569190600522,0.5313315926892951,0.17770419426048564,0.16114790286975716,0,186,False
DataSet_01_207,MITF,GSE50649,COLO829,-0.84891,False,0.010443864229765013,0.013054830287206266,0.08351893095768374,0.09020044543429843,0,0,False
DataSet_01_208,FOXP1,GSE51382,OCI-Ly10,-0.88367,False,0.6840731070496083,0.695822454308094,0.08657047724750278,0.10543840177580466,0,0,False
DataSet_01_209,FOXP1,GSE51382,OCI-Ly1,-0.91617,False,0.048302872062663184,0.07702349869451697,0.08657047724750278,0.10543840177580466,0,0,False
DataSet_01_210,FOXP1,GSE51382,OCI-Ly7,-0.51081,False,0.6148825065274152,0.6579634464751958,0.08657047724750278,0.10543840177580466,0,0,False
DataSet_01_211,REST,GSE51461,LNCaP,-1.90083,True,0.0013054830287206266,0.0013054830287206266,0.24750277469478357,0.2730299667036626,0,35,False
DataSet_01_212,EGR3,GSE52108,M12,0.52107,False,0.40992167101827676,0.34203655352480417,0.1138121546961326,0.14806629834254142,0,0,False
DataSet_01_213,SOX11,GSE52892,MCL,-1.94653,True,0.11879895561357702,0.06527415143603134,0.05758582502768549,0.06533776301218161,0,0,False
DataSet_01_214,BCLAF1,GSE52990,RKO,-1.2932,True,0.5274151436031331,0.6462140992167101,0.07743362831858407,0.06415929203539823,0,0,False
DataSet_01_216,ERG,GSE53994,VCaP,-0.84468,False,0.4608355091383812,0.3381201044386423,0.09966777408637874,0.10188261351052048,0,5,False
DataSet_01_217,TAL1,GSE54075,HEL,-2.05844,True,0.1475195822454308,0.10704960835509138,0.0876803551609323,0.08324084350721421,0,0,False
DataSet_01_220,HIF1A,GSE54360,HepG2,-1.23384,True,0.007832898172323759,0.006527415143603133,0.19577308120133483,0.19799777530589543,0,69,False
DataSet_01_221,KLF3,GSE54437,K562,0.04916,False,0.9986945169712794,0.9986945169712794,0.07947019867549669,0.10375275938189846,0,186,False
