exp,tf,sign_decision_label,self_edge_weight,has_self_edge,regulon_size,frac_regulon_default,hit_full,hit_noselfedge,ulm,no_self-edge,no_other_regulon,gene_off_network,masked
DataSet_01_030,RELA,default activation (+1),1.0,True,540,0.45555555555555555,True,True,0.0013054830287206266,0.0039164490861618795,0.0013054830287206266,0.0026109660574412533,0.0026109660574412533
DataSet_01_031,TP53,PMID (+1),1.0,True,931,0.6133190118152524,True,True,0.02610966057441253,0.030026109660574413,0.018276762402088774,0.020887728459530026,0.020887728459530026
DataSet_01_033,ATF3,PMID (-1),-1.0,True,108,0.4444444444444444,False,False,0.23368146214099217,0.14882506527415143,0.2310704960835509,0.14882506527415143,0.14490861618798956
DataSet_01_034,EGR3,no self-edge,0.0,False,32,0.8125,True,True,0.050913838120104436,0.050913838120104436,0.04960835509138381,0.04960835509138381,0.04960835509138381
DataSet_01_036,ETV1,no self-edge,0.0,False,21,0.0,False,False,0.9804177545691906,0.9804177545691906,0.9804177545691906,0.9804177545691906,0.9804177545691906
DataSet_01_037,TP53,PMID (+1),1.0,True,931,0.6133190118152524,False,False,0.7323759791122716,0.7728459530026109,0.7297650130548303,0.7663185378590078,0.7663185378590078
DataSet_01_038,TP53,PMID (+1),1.0,True,931,0.6133190118152524,True,True,0.0026109660574412533,0.0026109660574412533,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_042,POU5F1,PMID (+1),1.0,True,89,0.23595505617977527,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_044,MYB,PMID (+1),1.0,True,177,0.6440677966101694,True,True,0.024804177545691905,0.030026109660574413,0.024804177545691905,0.030026109660574413,0.031331592689295036
DataSet_01_049,STAT3,PMID (+1),1.0,True,425,0.0,False,False,0.2754569190600522,0.3276762402088773,0.2754569190600522,0.3276762402088773,0.3302872062663185
DataSet_01_051,RARA,default activation (+1),1.0,True,182,0.6483516483516484,False,False,0.9947780678851175,0.9947780678851175,0.9947780678851175,0.9947780678851175,0.9947780678851175
DataSet_01_053,TFAP2C,default activation (+1),1.0,True,34,0.6176470588235294,True,True,0.0026109660574412533,0.0039164490861618795,0.0026109660574412533,0.0039164490861618795,0.0039164490861618795
DataSet_01_058,BACH1,no self-edge,0.0,False,15,0.4,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_059,BACH1,no self-edge,0.0,False,15,0.4,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_060,NFE2L2,default activation (+1),1.0,True,196,0.6581632653061225,True,True,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533
DataSet_01_068,TP53,PMID (+1),1.0,True,931,0.6133190118152524,True,True,0.057441253263707574,0.0639686684073107,0.037859007832898174,0.04569190600522193,0.044386422976501305
DataSet_01_071,ELF5,no self-edge,0.0,False,10,0.9,False,False,0.4216710182767624,0.4216710182767624,0.4216710182767624,0.4216710182767624,0.4216710182767624
DataSet_01_073,ZNF148,default activation (+1),1.0,True,31,0.6129032258064516,True,True,0.0026109660574412533,0.007832898172323759,0.0026109660574412533,0.007832898172323759,0.007832898172323759
DataSet_01_074,CEBPD,PMID (-1),-1.0,True,94,0.6276595744680851,False,False,0.23237597911227154,0.12924281984334204,0.22845953002610966,0.12532637075718014,0.12532637075718014
DataSet_01_075,CEBPZ,no self-edge,0.0,False,18,0.6666666666666666,False,False,0.5221932114882507,0.5221932114882507,0.5221932114882507,0.5221932114882507,0.5221932114882507
DataSet_01_076,ETS1,PMID (+1),1.0,True,206,0.0,False,False,0.4425587467362924,0.5300261096605744,0.43994778067885115,0.5300261096605744,0.5352480417754569
DataSet_01_077,FOXM1,regulon (+1),1.0,True,97,0.0,False,False,0.2454308093994778,0.38642297650130547,0.24151436031331594,0.3838120104438642,0.3877284595300261
DataSet_01_078,HSF2,default activation (+1),1.0,True,25,0.6,False,False,0.10052219321148825,0.28067885117493474,0.10052219321148825,0.28067885117493474,0.28720626631853785
DataSet_01_079,MITF,PMID (+1),1.0,True,109,0.5779816513761468,False,False,0.1566579634464752,0.37597911227154046,0.14882506527415143,0.3720626631853786,0.3720626631853786
DataSet_01_080,RELA,default activation (+1),1.0,True,540,0.45555555555555555,True,True,0.0391644908616188,0.04177545691906005,0.03655352480417755,0.04046997389033943,0.04046997389033943
DataSet_01_081,SP1,PMID (+1),1.0,True,1260,0.5928571428571429,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_083,STAT1,PMID (+1),1.0,True,294,0.445578231292517,False,False,0.2885117493472585,0.3629242819843342,0.283289817232376,0.35900783289817234,0.35900783289817234
DataSet_01_084,STAT3,PMID (+1),1.0,True,425,0.0,False,False,0.12924281984334204,0.16579634464751958,0.12663185378590078,0.1618798955613577,0.1618798955613577
DataSet_01_085,STAT6,default activation (+1),1.0,True,124,0.5403225806451613,False,False,0.23890339425587467,0.3198433420365535,0.23890339425587467,0.3198433420365535,0.3224543080939948
DataSet_01_086,HIF1A,PMID (-1),-1.0,True,447,0.5525727069351231,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_088,FOXP1,default activation (+1),1.0,True,33,0.6666666666666666,True,False,0.07180156657963446,0.16057441253263707,0.07180156657963446,0.16057441253263707,0.16840731070496084
DataSet_01_089,NR2F2,default activation (+1),1.0,True,79,0.6329113924050633,False,False,0.45430809399477806,0.6932114882506527,0.45300261096605743,0.6932114882506527,0.6932114882506527
DataSet_01_090,NR2F2,default activation (+1),1.0,True,79,0.6329113924050633,False,False,0.4281984334203655,0.5509138381201044,0.4281984334203655,0.5483028720626631,0.5469973890339426
DataSet_01_091,ETV6,no self-edge,0.0,False,27,0.14814814814814814,False,False,0.9778067885117493,0.9778067885117493,0.9765013054830287,0.9765013054830287,0.9765013054830287
DataSet_01_094,NANOG,default activation (+1),1.0,True,59,0.4576271186440678,True,False,0.07571801566579635,0.20234986945169714,0.07180156657963446,0.19712793733681463,0.20757180156657964
DataSet_01_095,POU5F1,PMID (+1),1.0,True,89,0.23595505617977527,True,True,0.007832898172323759,0.014360313315926894,0.007832898172323759,0.010443864229765013,0.010443864229765013
DataSet_01_096,SOX2,PMID (+1),1.0,True,88,0.0,True,True,0.0013054830287206266,0.006527415143603133,0.0013054830287206266,0.0026109660574412533,0.0026109660574412533
DataSet_01_098,SALL4,regulon (+1),1.0,True,21,0.0,True,False,0.06266318537859007,0.2558746736292428,0.06135770234986945,0.2558746736292428,0.26240208877284593
DataSet_01_099,FOS,PMID (-1),-1.0,True,330,0.5484848484848485,False,False,0.8838120104438643,0.8668407310704961,0.8838120104438643,0.8681462140992167,0.8681462140992167
DataSet_01_101,IRF6,default activation (+1),1.0,True,15,0.8,False,False,0.1279373368146214,0.5535248041775457,0.1279373368146214,0.5535248041775457,0.5469973890339426
DataSet_01_103,HNF1B,default activation (+1),1.0,True,65,0.6307692307692307,True,True,0.018276762402088774,0.0195822454308094,0.018276762402088774,0.0195822454308094,0.020887728459530026
DataSet_01_105,FOXA1,no self-edge,0.0,False,69,0.36231884057971014,True,True,0.04960835509138381,0.04960835509138381,0.04960835509138381,0.04960835509138381,0.04960835509138381
DataSet_01_112,HSF1,default activation (+1),1.0,True,98,0.6224489795918368,False,False,0.2402088772845953,0.3838120104438642,0.23890339425587467,0.381201044386423,0.381201044386423
DataSet_01_114,ARID1A,no self-edge,0.0,False,8,0.875,False,False,0.7898172323759791,0.7898172323759791,0.7898172323759791,0.7898172323759791,0.7898172323759791
DataSet_01_117,ID1,default activation (+1),1.0,True,77,0.7142857142857143,False,False,0.7924281984334204,0.835509138381201,0.7911227154046997,0.8342036553524804,0.8211488250652742
DataSet_01_118,ID1,default activation (+1),1.0,True,77,0.7142857142857143,True,False,0.0835509138381201,0.16971279373368145,0.08093994778067885,0.16449086161879894,0.16579634464751958
DataSet_01_121,ZIC2,no self-edge,0.0,False,7,0.42857142857142855,False,False,0.5182767624020888,0.5182767624020888,0.5182767624020888,0.5182767624020888,0.5182767624020888
DataSet_01_123,ZNF91,no self-edge,0.0,False,48,0.9583333333333334,False,False,0.4699738903394256,0.4699738903394256,0.4699738903394256,0.4699738903394256,0.4699738903394256
DataSet_01_132,EGR4,no self-edge,0.0,False,15,0.4666666666666667,True,True,0.05221932114882506,0.05221932114882506,0.05221932114882506,0.05221932114882506,0.05221932114882506
DataSet_01_135,SPDEF,default activation (+1),1.0,True,19,0.42105263157894735,True,False,0.04960835509138381,0.14490861618798956,0.04960835509138381,0.14490861618798956,0.1514360313315927
DataSet_01_136,REST,no self-edge,0.0,False,73,0.0,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_138,IKZF1,no self-edge,0.0,False,51,0.3137254901960784,False,False,0.9673629242819843,0.9673629242819843,0.9673629242819843,0.9673629242819843,0.9673629242819843
DataSet_01_142,LEF1,PMID (+1),1.0,True,116,0.0,True,False,0.028720626631853787,0.11618798955613577,0.0195822454308094,0.11096605744125326,0.10966057441253264
DataSet_01_145,REST,no self-edge,0.0,False,73,0.0,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_147,EHF,no self-edge,0.0,False,13,0.6153846153846154,False,False,0.391644908616188,0.391644908616188,0.391644908616188,0.391644908616188,0.391644908616188
DataSet_01_148,MYBL2,PMID (+1),1.0,True,51,0.6274509803921569,True,False,0.0926892950391645,0.19973890339425587,0.09138381201044386,0.19973890339425587,0.19973890339425587
DataSet_01_149,ETS2,regulon (+1),1.0,True,105,0.0,False,False,0.8407310704960835,0.95822454308094,0.8368146214099217,0.95822454308094,0.9569190600522193
DataSet_01_150,TFAP2C,default activation (+1),1.0,True,34,0.6176470588235294,True,True,0.0039164490861618795,0.007832898172323759,0.0039164490861618795,0.007832898172323759,0.009138381201044387
DataSet_01_151,TEAD4,no self-edge,0.0,False,11,0.0,True,True,0.03524804177545692,0.03524804177545692,0.03524804177545692,0.03524804177545692,0.03524804177545692
DataSet_01_154,STAT1,PMID (+1),1.0,True,294,0.445578231292517,False,False,0.412532637075718,0.48433420365535246,0.40992167101827676,0.48433420365535246,0.48433420365535246
DataSet_01_155,HSF1,default activation (+1),1.0,True,98,0.6224489795918368,True,True,0.007832898172323759,0.02741514360313316,0.006527415143603133,0.024804177545691905,0.02610966057441253
DataSet_01_156,HIF1A,PMID (-1),-1.0,True,447,0.5525727069351231,False,True,0.1422976501305483,0.04699738903394256,0.12402088772845953,0.031331592689295036,0.031331592689295036
DataSet_01_162,ELK1,no self-edge,0.0,False,58,0.0,False,False,0.2950391644908616,0.2950391644908616,0.2950391644908616,0.2950391644908616,0.2950391644908616
DataSet_01_164,JUN,PMID (+1),1.0,True,637,0.4835164835164835,True,True,0.024804177545691905,0.02741514360313316,0.024804177545691905,0.02741514360313316,0.02741514360313316
DataSet_01_165,MAF,PMID (+1),1.0,True,62,0.6774193548387096,True,True,0.02741514360313316,0.04699738903394256,0.02610966057441253,0.04569190600522193,0.04699738903394256
DataSet_01_166,NFATC3,no self-edge,0.0,False,40,0.45,False,False,0.6932114882506527,0.6932114882506527,0.6932114882506527,0.6932114882506527,0.6932114882506527
DataSet_01_168,STAT3,PMID (+1),1.0,True,425,0.0,True,True,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533
DataSet_01_169,HOXB7,no self-edge,0.0,False,23,0.5217391304347826,False,False,0.1122715404699739,0.1122715404699739,0.10704960835509138,0.10704960835509138,0.10704960835509138
DataSet_01_170,HOXB7,no self-edge,0.0,False,23,0.5217391304347826,False,False,0.9647519582245431,0.9647519582245431,0.9647519582245431,0.9647519582245431,0.9647519582245431
DataSet_01_171,FOSL1,no self-edge,0.0,False,50,0.56,False,False,0.5234986945169713,0.5234986945169713,0.5195822454308094,0.5195822454308094,0.5195822454308094
DataSet_01_173,ESRRG,default activation (+1),1.0,True,26,0.5384615384615384,False,False,0.12532637075718014,0.26762402088772846,0.1227154046997389,0.26762402088772846,0.26762402088772846
DataSet_01_175,TP53,PMID (+1),1.0,True,931,0.6133190118152524,True,True,0.005221932114882507,0.009138381201044387,0.0039164490861618795,0.005221932114882507,0.005221932114882507
DataSet_01_176,NR2F2,default activation (+1),1.0,True,79,0.6329113924050633,True,False,0.018276762402088774,0.2963446475195822,0.018276762402088774,0.28720626631853785,0.283289817232376
DataSet_01_177,NR2F2,default activation (+1),1.0,True,79,0.6329113924050633,True,False,0.0195822454308094,0.3381201044386423,0.0195822454308094,0.33159268929503916,0.3342036553524804
DataSet_01_180,STAT3,PMID (+1),1.0,True,425,0.0,False,False,0.9595300261096605,0.9725848563968669,0.9608355091383812,0.9725848563968669,0.9725848563968669
DataSet_01_183,TP63,default activation (+1),1.0,True,198,0.8383838383838383,True,True,0.033942558746736295,0.04308093994778068,0.033942558746736295,0.04177545691906005,0.04308093994778068
DataSet_01_184,STAT3,PMID (+1),1.0,True,425,0.0,True,True,0.005221932114882507,0.006527415143603133,0.005221932114882507,0.006527415143603133,0.006527415143603133
DataSet_01_185,TCF4,no self-edge,0.0,False,56,0.375,False,False,0.7650130548302873,0.7650130548302873,0.7689295039164491,0.7689295039164491,0.7689295039164491
DataSet_01_189,SPDEF,default activation (+1),1.0,True,19,0.42105263157894735,False,False,0.22845953002610966,0.9347258485639687,0.22715404699738903,0.9347258485639687,0.9308093994778068
DataSet_01_192,AR,default activation (+1),1.0,True,493,0.6815415821501014,False,False,0.360313315926893,0.46866840731070497,0.34073107049608353,0.44386422976501305,0.43994778067885115
DataSet_01_196,TP63,default activation (+1),1.0,True,198,0.8383838383838383,False,False,0.11357702349869452,0.12924281984334204,0.1122715404699739,0.1279373368146214,0.1279373368146214
DataSet_01_198,TP63,default activation (+1),1.0,True,198,0.8383838383838383,True,True,0.07571801566579635,0.0926892950391645,0.07571801566579635,0.0926892950391645,0.09399477806788512
DataSet_01_200,TP63,default activation (+1),1.0,True,198,0.8383838383838383,False,False,0.23237597911227154,0.28067885117493474,0.2297650130548303,0.2793733681462141,0.2793733681462141
DataSet_01_203,XBP1,default activation (+1),1.0,True,53,0.7169811320754716,False,False,0.195822454308094,0.45691906005221933,0.19451697127937337,0.45691906005221933,0.45822454308093996
DataSet_01_204,XBP1,default activation (+1),1.0,True,53,0.7169811320754716,True,True,0.022193211488250653,0.07049608355091384,0.020887728459530026,0.07180156657963446,0.07180156657963446
DataSet_01_211,REST,no self-edge,0.0,False,73,0.0,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_213,SOX11,no self-edge,0.0,False,11,0.45454545454545453,False,False,0.11879895561357702,0.11879895561357702,0.11879895561357702,0.11879895561357702,0.11879895561357702
DataSet_01_214,BCLAF1,default activation (+1),1.0,True,8,0.875,True,False,0.020887728459530026,0.5496083550913838,0.020887728459530026,0.5483028720626631,0.5274151436031331
DataSet_01_217,TAL1,default activation (+1),1.0,True,94,0.776595744680851,True,False,0.08485639686684072,0.15013054830287206,0.0835509138381201,0.1475195822454308,0.1475195822454308
DataSet_01_220,HIF1A,PMID (-1),-1.0,True,447,0.5525727069351231,True,True,0.01174934725848564,0.009138381201044387,0.009138381201044387,0.007832898172323759,0.007832898172323759
DataSet_01_222,KLF9,no self-edge,0.0,False,25,0.4,False,False,0.43733681462140994,0.43733681462140994,0.43733681462140994,0.43733681462140994,0.43733681462140994
DataSet_01_223,FOXM1,regulon (+1),1.0,True,97,0.0,True,False,0.04308093994778068,0.2519582245430809,0.04308093994778068,0.24673629242819844,0.24673629242819844
DataSet_01_224,HIF1A,PMID (-1),-1.0,True,447,0.5525727069351231,True,True,0.028720626631853787,0.016971279373368148,0.030026109660574413,0.016971279373368148,0.016971279373368148
DataSet_01_226,KLF2,default activation (+1),1.0,True,66,0.5454545454545454,False,False,0.4451697127937337,0.5809399477806788,0.44386422976501305,0.5796344647519582,0.5757180156657964
DataSet_01_228,HIF1A,PMID (-1),-1.0,True,447,0.5525727069351231,True,True,0.014360313315926894,0.007832898172323759,0.007832898172323759,0.005221932114882507,0.005221932114882507
DataSet_01_233,FOXA1,no self-edge,0.0,False,69,0.36231884057971014,False,False,0.14490861618798956,0.14490861618798956,0.1422976501305483,0.1422976501305483,0.13968668407310705
DataSet_01_238,NFYB,no self-edge,0.0,False,40,0.6,True,True,0.08746736292428199,0.08746736292428199,0.08746736292428199,0.08746736292428199,0.08746736292428199
DataSet_01_244,ETS1,PMID (+1),1.0,True,206,0.0,True,True,0.031331592689295036,0.0639686684073107,0.02741514360313316,0.05613577023498695,0.05613577023498695
DataSet_01_246,TLX1,PMID (+1),1.0,True,10,0.3,True,False,0.04308093994778068,0.9660574412532638,0.0391644908616188,0.9634464751958225,0.95822454308094
DataSet_01_247,GATA6,default activation (+1),1.0,True,84,0.6904761904761905,True,False,0.06135770234986945,0.10704960835509138,0.06005221932114883,0.1031331592689295,0.10443864229765012
DataSet_01_248,SMAD2,no self-edge,0.0,False,103,0.0,False,False,0.1801566579634465,0.1801566579634465,0.17754569190600522,0.17754569190600522,0.17754569190600522
DataSet_01_255,YBX1,default activation (+1),1.0,True,91,0.5494505494505495,False,False,0.5052219321148825,0.6710182767624021,0.5052219321148825,0.6710182767624021,0.6710182767624021
DataSet_01_256,YBX1,default activation (+1),1.0,True,91,0.5494505494505495,True,False,0.028720626631853787,0.12663185378590078,0.02741514360313316,0.1227154046997389,0.12402088772845953
DataSet_01_257,YBX1,default activation (+1),1.0,True,91,0.5494505494505495,False,False,0.6736292428198434,0.7480417754569191,0.6723237597911227,0.7467362924281984,0.7467362924281984
DataSet_01_258,YBX1,default activation (+1),1.0,True,91,0.5494505494505495,True,False,0.07441253263707572,0.2245430809399478,0.07180156657963446,0.2245430809399478,0.2258485639686684
DataSet_01_260,SOX4,PMID (+1),1.0,True,22,0.45454545454545453,True,False,0.02349869451697128,0.1762402088772846,0.02349869451697128,0.17362924281984335,0.17885117493472585
DataSet_01_261,NFKB2,default activation (+1),1.0,True,73,0.6301369863013698,True,False,0.06919060052219321,0.2741514360313316,0.0639686684073107,0.2741514360313316,0.2793733681462141
DataSet_01_267,FOXO3,PMID (+1),1.0,True,191,0.3507853403141361,False,False,0.20887728459530025,0.3002610966057441,0.20496083550913838,0.29765013054830286,0.2989556135770235
DataSet_01_269,SIX4,no self-edge,0.0,False,7,0.5714285714285714,False,False,0.5718015665796344,0.5718015665796344,0.5718015665796344,0.5718015665796344,0.5718015665796344
DataSet_01_277,SALL4,regulon (+1),1.0,True,21,0.0,False,False,0.25326370757180156,0.5796344647519582,0.2506527415143603,0.5783289817232375,0.587467362924282
DataSet_01_280,ESRRA,regulon (+1),1.0,True,49,0.0,False,False,0.1409921671018277,0.2885117493472585,0.1409921671018277,0.2885117493472585,0.2950391644908616
DataSet_01_281,MSX1,PMID (-1),-1.0,True,26,0.2692307692307692,False,True,0.14882506527415143,0.031331592689295036,0.14360313315926893,0.028720626631853787,0.03263707571801567
DataSet_01_282,IRF7,no self-edge,0.0,False,31,0.0,False,False,0.3198433420365535,0.3198433420365535,0.3237597911227154,0.3237597911227154,0.3237597911227154
DataSet_01_283,AHR,default activation (+1),1.0,True,191,0.5968586387434555,True,True,0.031331592689295036,0.0391644908616188,0.031331592689295036,0.037859007832898174,0.037859007832898174
DataSet_01_295,TFAP4,default activation (+1),1.0,True,37,0.7297297297297297,False,False,0.4621409921671018,0.5052219321148825,0.4621409921671018,0.5052219321148825,0.5796344647519582
DataSet_01_299,SOX7,no self-edge,0.0,False,6,0.5,False,False,0.12532637075718014,0.12532637075718014,0.12532637075718014,0.12532637075718014,0.12532637075718014
DataSet_01_300,SOX17,default activation (+1),1.0,True,45,0.6222222222222222,True,False,0.0587467362924282,0.11488250652741515,0.057441253263707574,0.1122715404699739,0.11618798955613577
DataSet_01_304,ETV5,no self-edge,0.0,False,23,0.0,False,False,0.9738903394255874,0.9738903394255874,0.9738903394255874,0.9738903394255874,0.9738903394255874
DataSet_01_305,HOXA5,no self-edge,0.0,False,16,0.5625,False,False,0.4308093994778068,0.4308093994778068,0.42950391644908614,0.42950391644908614,0.42950391644908614
DataSet_01_306,NR2E1,PMID (-1),-1.0,True,17,0.5882352941176471,False,True,0.2349869451697128,0.09530026109660575,0.2349869451697128,0.09530026109660575,0.097911227154047
DataSet_01_308,SOX9,PMID (+1),1.0,True,104,0.0,False,False,0.13838120104438642,0.17754569190600522,0.1370757180156658,0.17362924281984335,0.17493472584856398
DataSet_01_309,SOX9,PMID (+1),1.0,True,104,0.0,False,False,0.13838120104438642,0.17754569190600522,0.1370757180156658,0.17362924281984335,0.17493472584856398
DataSet_01_312,TFAP2C,default activation (+1),1.0,True,34,0.6176470588235294,True,False,0.03263707571801567,0.1475195822454308,0.03263707571801567,0.1475195822454308,0.14882506527415143
DataSet_01_318,ELK3,no self-edge,0.0,False,27,0.6666666666666666,False,False,0.44386422976501305,0.44386422976501305,0.44386422976501305,0.44386422976501305,0.44386422976501305
DataSet_01_324,MYC,PMID (-1),-1.0,True,845,0.6011834319526628,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_327,TP63,default activation (+1),1.0,True,198,0.8383838383838383,True,True,0.015665796344647518,0.03524804177545692,0.014360313315926894,0.033942558746736295,0.033942558746736295
DataSet_01_330,TP63,default activation (+1),1.0,True,198,0.8383838383838383,True,True,0.015665796344647518,0.03524804177545692,0.014360313315926894,0.033942558746736295,0.033942558746736295
DataSet_01_332,TOX,default activation (+1),1.0,True,5,1.0,True,False,0.014360313315926894,0.3733681462140992,0.014360313315926894,0.3733681462140992,0.37989556135770236
DataSet_01_333,HOXC6,no self-edge,0.0,False,12,0.6666666666666666,False,False,0.3342036553524804,0.3342036553524804,0.3328981723237598,0.3328981723237598,0.3328981723237598
DataSet_01_336,GRHL3,no self-edge,0.0,False,28,1.0,False,False,0.2010443864229765,0.2010443864229765,0.2010443864229765,0.2010443864229765,0.2010443864229765
DataSet_01_337,REST,no self-edge,0.0,False,73,0.0,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_338,REST,no self-edge,0.0,False,73,0.0,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_339,KLF4,PMID (+1),1.0,True,128,0.2421875,False,False,0.8133159268929504,0.8759791122715405,0.8133159268929504,0.8746736292428199,0.8746736292428199
DataSet_01_340,KLF7,default activation (+1),1.0,True,11,0.6363636363636364,False,False,0.4556135770234987,0.7819843342036553,0.4556135770234987,0.7819843342036553,0.7872062663185379
DataSet_01_342,KLF7,default activation (+1),1.0,True,11,0.6363636363636364,True,False,0.05613577023498695,0.47911227154047,0.05613577023498695,0.47911227154047,0.4830287206266319
DataSet_01_347,GATA3,PMID (+1),1.0,True,182,0.7197802197802198,False,False,0.7571801566579635,0.8133159268929504,0.7558746736292428,0.8120104438642297,0.8067885117493473
DataSet_01_348,HIF1A,PMID (-1),-1.0,True,447,0.5525727069351231,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_349,SOX2,PMID (+1),1.0,True,88,0.0,True,True,0.006527415143603133,0.010443864229765013,0.006527415143603133,0.010443864229765013,0.013054830287206266
DataSet_01_354,ELK1,no self-edge,0.0,False,58,0.0,False,False,0.5248041775456919,0.5248041775456919,0.5248041775456919,0.5248041775456919,0.5248041775456919
DataSet_01_356,ETV4,PMID (+1),1.0,True,62,0.0,False,False,0.8368146214099217,0.9138381201044387,0.8368146214099217,0.9138381201044387,0.9138381201044387
DataSet_01_357,CDX2,PMID (+1),1.0,True,77,0.0,False,False,0.6879895561357703,0.7480417754569191,0.6866840731070496,0.7480417754569191,0.7493472584856397
DataSet_01_360,SOX17,default activation (+1),1.0,True,45,0.6222222222222222,False,False,0.2154046997389034,0.3342036553524804,0.2154046997389034,0.3328981723237598,0.3328981723237598
DataSet_02_015,HOXB9,no self-edge,0.0,False,6,0.0,False,False,0.19973890339425587,0.19973890339425587,0.19973890339425587,0.19973890339425587,0.19973890339425587
DataSet_02_016,JUND,PMID (+1),1.0,True,104,0.5,True,True,0.018276762402088774,0.024804177545691905,0.018276762402088774,0.024804177545691905,0.024804177545691905
DataSet_02_018,STAT2,no self-edge,0.0,False,49,0.4897959183673469,True,True,0.07571801566579635,0.07571801566579635,0.07571801566579635,0.07571801566579635,0.07571801566579635
