tf,n,size,max_jac,has_self,sign,ulm,noself,masked,hit10_ulm,hit5_ulm,hit10_noself,hit5_noself,hit10_masked,hit5_masked,size_bin,max_jac_bin,sbin,size_ebin,max_jac_ebin
KLF7,2,11,0.18181818181818182,True,1.0,0.2558746736292428,0.6305483028720626,0.6351174934725848,False,False,False,False,False,False,low,mid,<=60,low,mid
KLF9,1,26,0.1111111111111111,False,0.0,0.43733681462140994,0.43733681462140994,0.43733681462140994,False,False,False,False,False,False,low,low,<=60,low,low
LEF1,1,120,0.17302798982188294,True,1.0,0.028720626631853787,0.11618798955613577,0.10966057441253264,True,True,False,False,False,False,high,mid,61-150,high,mid
MAF,1,65,0.11494252873563218,True,1.0,0.02741514360313316,0.04699738903394256,0.04699738903394256,True,True,True,True,True,True,mid,low,61-150,mid,low
MAFB,1,47,0.10891089108910891,True,1.0,0.06788511749347259,0.15926892950391644,0.1618798955613577,True,False,False,False,False,False,mid,low,<=60,low,low
MAX,1,50,0.18181818181818182,True,1.0,0.2989556135770235,0.38903394255874674,0.3877284595300261,False,False,False,False,False,False,mid,mid,<=60,mid,mid
MITF,4,112,0.09770114942528736,True,1.0,0.03198433420365535,0.0391644908616188,0.04242819843342037,True,True,True,True,True,True,high,low,61-150,high,low
MSX1,1,27,0.1388888888888889,True,-1.0,0.14882506527415143,0.031331592689295036,0.03263707571801567,False,False,True,True,True,True,low,mid,<=60,low,mid
MYB,2,183,0.13513513513513514,True,1.0,0.038511749347258484,0.06592689295039164,0.05939947780678852,True,True,True,False,True,False,high,mid,151-400,high,mid
MYBL2,1,53,0.11320754716981132,True,1.0,0.0926892950391645,0.19973890339425587,0.19973890339425587,True,False,False,False,False,False,mid,low,<=60,mid,low
MYC,2,887,0.15890751086281812,True,-1.0,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,True,True,True,True,True,high,mid,>400,high,mid
NANOG,1,61,0.21875,True,1.0,0.07571801566579635,0.20234986945169714,0.20757180156657964,True,False,False,False,False,False,mid,high,61-150,mid,high
NCOA1,1,91,0.2116788321167883,False,0.0,0.005221932114882507,0.005221932114882507,0.005221932114882507,True,True,True,True,True,True,high,high,61-150,mid,high
NCOA2,1,65,0.23893805309734514,True,1.0,0.005221932114882507,0.010443864229765013,0.010443864229765013,True,True,True,True,True,True,mid,high,61-150,mid,high
NCOA3,1,75,0.23893805309734514,True,1.0,0.660574412532637,0.8798955613577023,0.8746736292428199,False,False,False,False,False,False,mid,high,61-150,mid,high
NCOR1,1,90,0.2230769230769231,True,1.0,0.015665796344647518,0.13185378590078328,0.12924281984334204,True,True,False,False,False,False,mid,high,61-150,mid,high
NFATC3,1,41,0.12,False,0.0,0.6932114882506527,0.6932114882506527,0.6932114882506527,False,False,False,False,False,False,mid,mid,<=60,low,low
NFE2L1,1,9,0.2,True,1.0,0.015665796344647518,0.028720626631853787,0.030026109660574413,True,True,True,True,True,True,low,high,<=60,low,high
NFE2L2,1,204,0.10486891385767791,True,1.0,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,True,True,True,True,True,True,high,low,151-400,high,low
NFKB2,1,77,0.3333333333333333,True,1.0,0.06919060052219321,0.2741514360313316,0.2793733681462141,True,False,False,False,False,False,mid,high,61-150,mid,high
NFYB,1,40,0.46511627906976744,False,0.0,0.08746736292428199,0.08746736292428199,0.08746736292428199,True,False,True,False,True,False,mid,high,<=60,low,high
NKRF,1,10,0.15384615384615385,False,0.0,0.206266318537859,0.206266318537859,0.206266318537859,False,False,False,False,False,False,low,mid,<=60,low,mid
NR2E1,1,17,0.09090909090909091,True,-1.0,0.2349869451697128,0.09530026109660575,0.097911227154047,False,False,True,False,True,False,low,low,<=60,low,low
NR2F2,6,79,0.20175438596491227,True,1.0,0.14360313315926893,0.33093994778067887,0.3276762402088773,False,False,False,False,False,False,mid,high,61-150,mid,high
PARK7,1,8,0.125,False,0.0,0.4908616187989556,0.4908616187989556,0.4934725848563969,False,False,False,False,False,False,low,mid,<=60,low,low
PAX3,2,116,0.08203125,True,1.0,0.1031331592689295,0.2095300261096606,0.2003916449086162,False,False,False,False,False,False,high,low,61-150,high,low
PBX1,3,62,0.1388888888888889,True,1.0,0.3720626631853786,0.706266318537859,0.7101827676240209,False,False,False,False,False,False,mid,mid,61-150,mid,mid
POU5F1,2,95,0.21875,True,1.0,0.004569190600522193,0.00783289817232376,0.00587467362924282,True,True,True,True,True,True,high,high,61-150,mid,high
PPARG,1,368,0.2754491017964072,False,0.0,0.02349869451697128,0.02349869451697128,0.0195822454308094,True,True,True,True,True,True,high,high,151-400,high,high
PROX1,1,34,0.07758620689655173,False,0.0,0.15926892950391644,0.15926892950391644,0.16057441253263707,False,False,False,False,False,False,mid,low,<=60,low,low
PRRX1,1,7,0.09090909090909091,False,0.0,0.7036553524804178,0.7036553524804178,0.7036553524804178,False,False,False,False,False,False,low,low,<=60,low,low
RARA,1,187,0.15503875968992248,True,1.0,0.9947780678851175,0.9947780678851175,0.9947780678851175,False,False,False,False,False,False,high,mid,151-400,high,mid
RELA,5,560,0.5608214849921012,True,1.0,0.006527415143603133,0.006527415143603133,0.006527415143603133,True,True,True,True,True,True,high,high,>400,high,high
RELB,1,59,0.3333333333333333,True,1.0,0.1370757180156658,0.22845953002610966,0.22845953002610966,False,False,False,False,False,False,mid,high,<=60,mid,high
REST,6,75,0.0625,False,0.0,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,True,True,True,True,True,mid,low,61-150,mid,low
RFX5,1,26,0.6428571428571429,True,1.0,0.5195822454308094,0.660574412532637,0.664490861618799,False,False,False,False,False,False,low,high,<=60,low,high
SALL4,2,21,0.10714285714285714,True,1.0,0.1579634464751958,0.4177545691906005,0.42493472584856395,False,False,False,False,False,False,low,low,<=60,low,low
SATB1,1,45,0.10185185185185185,True,1.0,0.0026109660574412533,0.005221932114882507,0.005221932114882507,True,True,True,True,True,True,mid,low,<=60,low,low
SIX4,1,8,0.15384615384615385,False,0.0,0.5718015665796344,0.5718015665796344,0.5718015665796344,False,False,False,False,False,False,low,mid,<=60,low,mid
SMAD2,3,108,0.3686635944700461,False,0.0,0.587467362924282,0.587467362924282,0.5861618798955613,False,False,False,False,False,False,high,high,61-150,mid,high
SMAD4,2,141,0.3253012048192771,False,0.0,0.2389033942558747,0.2389033942558747,0.23629242819843344,False,False,False,False,False,False,high,high,61-150,high,high
SMAD5,1,35,0.2976190476190476,False,0.0,0.006527415143603133,0.006527415143603133,0.006527415143603133,True,True,True,True,True,True,mid,high,<=60,low,high
SMARCA4,1,10,0.16666666666666666,False,0.0,0.9503916449086162,0.9503916449086162,0.9503916449086162,False,False,False,False,False,False,low,mid,<=60,low,mid
SMARCC1,1,9,0.16666666666666666,True,1.0,0.007832898172323759,0.7036553524804178,0.6932114882506527,True,True,False,False,False,False,low,mid,<=60,low,mid
SOX11,4,12,0.058823529411764705,False,0.0,0.1527415143603133,0.1527415143603133,0.1527415143603133,False,False,False,False,False,False,low,low,<=60,low,low
SOX17,2,46,0.1282051282051282,True,1.0,0.1370757180156658,0.2245430809399478,0.2245430809399478,False,False,False,False,False,False,mid,mid,<=60,low,mid
SOX2,5,91,0.19230769230769232,True,1.0,0.006527415143603133,0.010443864229765013,0.013054830287206266,True,True,True,True,True,True,high,high,61-150,mid,mid
SOX4,2,24,0.075,True,1.0,0.42689295039164493,0.5261096605744126,0.5267624020887729,False,False,False,False,False,False,low,low,<=60,low,low
SOX7,1,6,0.09090909090909091,False,0.0,0.12532637075718014,0.12532637075718014,0.12532637075718014,False,False,False,False,False,False,low,low,<=60,low,low
SOX9,2,106,0.10119047619047619,True,1.0,0.13838120104438642,0.17754569190600522,0.17493472584856398,False,False,False,False,False,False,high,low,61-150,mid,low
SP1,3,1304,0.2903703703703704,True,1.0,0.10052219321148825,0.11879895561357702,0.10835509138381201,False,False,False,False,False,False,high,high,>400,high,high
SP2,1,24,0.1,False,0.0,0.5600522193211488,0.5600522193211488,0.5600522193211488,False,False,False,False,False,False,low,low,<=60,low,low
SPDEF,2,20,0.13636363636363635,True,1.0,0.13903394255874674,0.5398172323759791,0.5411227154046998,False,False,False,False,False,False,low,mid,<=60,low,mid
SPIB,1,18,0.1,True,1.0,0.016971279373368148,0.34856396866840733,0.35117493472584854,True,True,False,False,False,False,low,low,<=60,low,low
SSRP1,1,147,0.11764705882352941,False,0.0,0.5848563968668408,0.5848563968668408,0.5835509138381201,False,False,False,False,False,False,high,low,61-150,high,low
STAT1,6,305,0.1967741935483871,True,1.0,0.35052219321148825,0.4236292428198433,0.4216710182767624,False,False,False,False,False,False,high,high,151-400,high,mid
STAT2,1,50,0.2153846153846154,False,0.0,0.07571801566579635,0.07571801566579635,0.07571801566579635,True,False,True,False,True,False,mid,high,<=60,mid,high
STAT3,10,437,0.1967741935483871,True,1.0,0.20234986945169714,0.24673629242819844,0.2460835509138381,False,False,False,False,False,False,high,high,>400,high,mid
STAT6,2,127,0.13432835820895522,True,1.0,0.5724543080939948,0.6259791122715405,0.627284595300261,False,False,False,False,False,False,high,mid,61-150,high,mid
TAL1,1,96,0.09565217391304348,True,1.0,0.08485639686684072,0.15013054830287206,0.1475195822454308,True,False,False,False,False,False,high,low,61-150,mid,low
TCF4,1,58,0.18243243243243243,False,0.0,0.7650130548302873,0.7650130548302873,0.7689295039164491,False,False,False,False,False,False,mid,high,<=60,mid,mid
TCF7L1,1,6,0.08333333333333333,False,0.0,0.06657963446475196,0.06657963446475196,0.06657963446475196,True,False,True,False,True,False,low,low,<=60,low,low
TEAD2,1,6,0.15384615384615385,False,0.0,0.8002610966057441,0.8002610966057441,0.8002610966057441,False,False,False,False,False,False,low,mid,<=60,low,mid
TEAD4,2,12,0.125,False,0.0,0.38838120104438645,0.38838120104438645,0.38838120104438645,False,False,False,False,False,False,low,mid,<=60,low,low
TFAP2C,4,35,0.08695652173913043,True,1.0,0.018276762402088774,0.05287206266318538,0.05483028720626632,True,True,True,False,True,False,mid,low,<=60,low,low
TFAP4,1,37,0.08208955223880597,True,1.0,0.4621409921671018,0.5052219321148825,0.5796344647519582,False,False,False,False,False,False,mid,low,<=60,low,low
TFDP1,1,31,0.14035087719298245,False,0.0,0.8929503916449086,0.8929503916449086,0.8929503916449086,False,False,False,False,False,False,mid,mid,<=60,low,mid
TFE3,1,37,0.125,True,1.0,0.05483028720626632,0.09138381201044386,0.0926892950391645,True,False,True,False,True,False,mid,mid,<=60,low,low
TLX1,1,10,0.09523809523809523,True,1.0,0.04308093994778068,0.9660574412532638,0.95822454308094,True,True,False,False,False,False,low,low,<=60,low,low
TOX,1,5,0.07692307692307693,True,1.0,0.014360313315926894,0.3733681462140992,0.37989556135770236,True,True,False,False,False,False,low,low,<=60,low,low
TP53,8,980,0.1970649895178197,True,1.0,0.04177545691906005,0.04699738903394256,0.03263707571801566,True,True,True,True,True,True,high,high,>400,high,high
TP63,6,206,0.21611721611721613,True,1.0,0.05483028720626632,0.06788511749347259,0.0685378590078329,True,False,True,False,True,False,high,high,151-400,high,high
TRIM28,1,6,0.2,False,0.0,0.5731070496083551,0.5731070496083551,0.5704960835509139,False,False,False,False,False,False,low,high,<=60,low,high
TWIST2,1,35,0.32558139534883723,True,1.0,0.013054830287206266,0.17885117493472585,0.19451697127937337,True,True,False,False,False,False,mid,high,<=60,low,high
USF1,1,227,0.37349397590361444,True,1.0,0.7702349869451697,0.8120104438642297,0.8120104438642297,False,False,False,False,False,False,high,high,151-400,high,high
USF2,1,115,0.37349397590361444,True,1.0,0.8681462140992167,0.8942558746736292,0.8877284595300261,False,False,False,False,False,False,high,high,61-150,high,high
WT1,1,156,0.11255411255411256,True,-1.0,0.4177545691906005,0.3263707571801567,0.31592689295039167,False,False,False,False,False,False,high,low,151-400,high,low
XBP1,2,57,0.12745098039215685,True,1.0,0.10900783289817233,0.26370757180156656,0.2650130548302872,False,False,False,False,False,False,mid,mid,<=60,mid,mid
YBX1,6,92,0.08620689655172414,True,1.0,0.22715404699738903,0.402088772845953,0.3968668407310705,False,False,False,False,False,False,high,low,61-150,mid,low
YY1,1,266,0.11396468699839486,True,-1.0,0.5939947780678851,0.52088772845953,0.5248041775456919,False,False,False,False,False,False,high,low,151-400,high,low
ZBTB33,1,11,0.16666666666666666,False,0.0,0.21801566579634465,0.21801566579634465,0.21801566579634465,False,False,False,False,False,False,low,mid,<=60,low,mid
ZFX,2,5,0.14285714285714285,False,0.0,0.5737597911227155,0.5737597911227155,0.5744125326370757,False,False,False,False,False,False,low,mid,<=60,low,mid
ZHX2,1,11,0.14285714285714285,True,-1.0,0.8133159268929504,0.2989556135770235,0.31201044386422977,False,False,False,False,False,False,low,mid,<=60,low,mid
ZIC2,1,7,0.14285714285714285,False,0.0,0.5182767624020888,0.5182767624020888,0.5182767624020888,False,False,False,False,False,False,low,mid,<=60,low,mid
ZNF148,1,31,0.09090909090909091,True,1.0,0.0026109660574412533,0.007832898172323759,0.007832898172323759,True,True,True,True,True,True,mid,low,<=60,low,low
ZNF91,1,49,0.08620689655172414,False,0.0,0.4699738903394256,0.4699738903394256,0.4699738903394256,False,False,False,False,False,False,mid,low,<=60,mid,low
