tf,cls,size,n,med_fr,mean_fr,hits,med_lfc
FOS,activator-majority,330,1,0.8681462140992167,0.8681462140992167,0,-1.23434
FOSL1,activator-majority,50,1,0.5195822454308094,0.5195822454308094,0,-1.41633
FOXA1,activator-majority,69,3,0.04960835509138381,0.07006092254134029,2,-1.43603
FOXD1,repressor-majority,6,1,0.31462140992167104,0.31462140992167104,0,-2.771563
FOXF2,tie / no PMID,12,1,0.9242819843342036,0.9242819843342036,0,-1.079575
FOXM1,no default edges,97,5,0.21018276762402088,0.21201044386422976,1,-2.553802
FOXO1,no default edges,265,1,0.1227154046997389,0.1227154046997389,0,-3.68757
FOXO3,activator-majority,191,1,0.2989556135770235,0.2989556135770235,0,-1.83034
FOXP1,repressor-majority,33,1,0.16840731070496084,0.16840731070496084,0,-1.35282
GATA2,no default edges,97,1,0.08485639686684072,0.08485639686684072,1,-1.408143
GATA3,activator-majority,182,1,0.8067885117493473,0.8067885117493473,0,-1.49625
GATA6,activator-majority,84,3,0.10443864229765012,0.14882506527415143,1,-1.123892
GRHL3,tie / no PMID,28,2,0.19778067885117495,0.19778067885117495,0,-2.648893
HDAC3,repressor-majority,27,1,0.7741514360313316,0.7741514360313316,0,-1.015974
HDGF,activator-majority,7,1,0.3133159268929504,0.3133159268929504,0,-3.16823
HES6,repressor-majority,9,2,0.2989556135770235,0.2989556135770235,0,-1.1463744999999999
HIF1A,activator-majority,447,7,0.007832898172323759,0.02610966057441253,6,-1.95443
HINFP,repressor-majority,10,2,0.7023498694516971,0.7023498694516971,0,-1.345175
HMGA1,activator-majority,73,2,0.4464751958224543,0.4464751958224543,1,-1.8170265
HNF1B,activator-majority,65,1,0.020887728459530026,0.020887728459530026,1,-1.0585
HOXA5,activator-majority,16,1,0.42950391644908614,0.42950391644908614,0,-1.5133
HOXB7,activator-majority,23,3,0.4608355091383812,0.5108790252393386,0,-2.7728
HOXB9,no default edges,6,1,0.19973890339425587,0.19973890339425587,0,-1.13412
HOXC6,tie / no PMID,12,1,0.3328981723237598,0.3328981723237598,0,-2.32533
HSF1,activator-majority,98,3,0.02610966057441253,0.13881636205395997,2,-1.158558
HSF2,activator-majority,25,1,0.28720626631853785,0.28720626631853785,0,-1.50714
ID1,repressor-majority,77,2,0.4934725848563969,0.4934725848563969,0,-1.86632
IKZF1,activator-majority,51,1,0.9673629242819843,0.9673629242819843,0,-1.02215
IRF6,activator-majority,15,1,0.5469973890339426,0.5469973890339426,0,-1.60997
IRF7,no default edges,31,1,0.3237597911227154,0.3237597911227154,0,-1.8021
JUN,activator-majority,637,2,0.020234986945169713,0.020234986945169713,2,-2.512749
JUND,activator-majority,104,1,0.024804177545691905,0.024804177545691905,1,-1.25221
KLF2,tie / no PMID,66,1,0.5757180156657964,0.5757180156657964,0,-1.74897
KLF4,activator-majority,128,1,0.8746736292428199,0.8746736292428199,0,-1.46365
KLF5,activator-majority,76,4,0.2016971279373368,0.2650130548302872,2,-1.5585900000000001
KLF7,tie / no PMID,11,2,0.6351174934725848,0.6351174934725848,0,-1.68973
