exp,tf,masked_frac
DataSet_01_280,ESRRA,0.2950391644908616
DataSet_01_281,MSX1,0.03263707571801567
DataSet_01_282,IRF7,0.3237597911227154
DataSet_01_283,AHR,0.037859007832898174
DataSet_01_295,TFAP4,0.5796344647519582
DataSet_01_299,SOX7,0.12532637075718014
DataSet_01_300,SOX17,0.11618798955613577
DataSet_01_304,ETV5,0.9738903394255874
DataSet_01_305,HOXA5,0.42950391644908614
DataSet_01_306,NR2E1,0.097911227154047
DataSet_01_308,SOX9,0.17493472584856398
DataSet_01_309,SOX9,0.17493472584856398
DataSet_01_312,TFAP2C,0.14882506527415143
DataSet_01_318,ELK3,0.44386422976501305
DataSet_01_324,MYC,0.0013054830287206266
DataSet_01_327,TP63,0.033942558746736295
DataSet_01_330,TP63,0.033942558746736295
DataSet_01_332,TOX,0.37989556135770236
DataSet_01_333,HOXC6,0.3328981723237598
DataSet_01_336,GRHL3,0.2010443864229765
DataSet_01_337,REST,0.0013054830287206266
DataSet_01_338,REST,0.0013054830287206266
DataSet_01_339,KLF4,0.8746736292428199
DataSet_01_340,KLF7,0.7872062663185379
DataSet_01_342,KLF7,0.4830287206266319
DataSet_01_347,GATA3,0.8067885117493473
DataSet_01_348,HIF1A,0.0013054830287206266
DataSet_01_349,SOX2,0.013054830287206266
DataSet_01_354,ELK1,0.5248041775456919
DataSet_01_356,ETV4,0.9138381201044387
DataSet_01_357,CDX2,0.7493472584856397
DataSet_01_360,SOX17,0.3328981723237598
DataSet_02_015,HOXB9,0.19973890339425587
DataSet_02_016,JUND,0.024804177545691905
DataSet_02_018,STAT2,0.07571801566579635
DataSet_02_023,STAT1,0.9151436031331592
DataSet_02_025,USF2,0.8877284595300261
DataSet_02_026,USF1,0.8120104438642297
DataSet_02_032,NFE2L1,0.030026109660574413
DataSet_02_033,TEAD2,0.8002610966057441
DataSet_02_039,RELA,0.0013054830287206266
DataSet_02_040,TEAD4,0.741514360313316
DataSet_02_042,SP2,0.5600522193211488
DataSet_02_048,SMAD5,0.006527415143603133
DataSet_02_054,ATF3,0.38511749347258484
DataSet_02_055,DLX1,0.6971279373368147
DataSet_02_061,RFX5,0.664490861618799
DataSet_02_063,TRIM28,0.5704960835509139
DataSet_02_071,TFDP1,0.8929503916449086
DataSet_02_075,HMGA1,0.8263707571801566
DataSet_02_082,ZBTB33,0.21801566579634465
DataSet_02_104,HDGF,0.3133159268929504
DataSet_02_172,ZFX,0.7180156657963447
DataSet_02_185,CTCF,0.8942558746736292
DataSet_02_192,MAX,0.3877284595300261
