exp,tf,ulm_frac,huber_frac,huber_weight_own_gene
DataSet_03_017,ATF3,0.8159268929503917,0.6697127937336814,0.049783525241199666
DataSet_03_018,ATF4,0.006527415143603133,0.022193211488250653,0.27855195789559273
DataSet_03_026,BCL6,0.0026109660574412533,0.010443864229765013,0.22368511267728755
DataSet_03_049,CEBPB,0.0013054830287206266,0.0013054830287206266,0.02804980233822329
DataSet_03_056,CTCF,0.013054830287206266,0.3681462140992167,0.016976337577808847
DataSet_03_059,CTNNB1,0.9516971279373369,0.206266318537859,0.002404482523656604
DataSet_03_060,E2F1,0.010443864229765013,0.006527415143603133,0.08822779093792359
DataSet_03_063,E2F7,0.7506527415143603,0.9216710182767625,0.0729742647919732
DataSet_03_065,EP300,0.5391644908616188,0.1618798955613577,0.02478295175057334
DataSet_03_073,ETS1,0.02741514360313316,0.17101827676240208,0.0840013028930292
DataSet_03_074,ETS1,0.033942558746736295,0.1462140992167102,0.08947096487481401
DataSet_03_075,ETV6,0.8590078328981723,0.3394255874673629,0.004555105265232155
DataSet_03_078,FLI1,0.9817232375979112,0.9908616187989556,0.0997602050203278
DataSet_03_080,FOXA1,0.020887728459530026,0.07049608355091384,0.08518896064881307
DataSet_03_085,FOXD1,0.31723237597911225,0.07441253263707572,0.04778735758646785
DataSet_03_087,FOXF2,0.9242819843342036,0.8002610966057441,0.19166347373644207
DataSet_03_090,FOXM1,0.009138381201044387,0.1174934725848564,0.0032958548775975
DataSet_03_091,FOXM1,0.04960835509138381,0.2154046997389034,0.0019471621588951428
DataSet_03_093,FOXM1,0.020887728459530026,0.3342036553524804,0.06395492765127715
DataSet_03_096,FOXO1,0.08877284595300261,0.3681462140992167,0.14280993803024059
DataSet_03_100,GATA2,0.05483028720626632,0.1409921671018277,0.24699959561965568
DataSet_03_108,GATA6,0.2689295039164491,0.762402088772846,0.19748356598135922
DataSet_03_110,GATA6,0.006527415143603133,0.097911227154047,0.2044369971809897
DataSet_03_113,GRHL3,0.195822454308094,0.185378590078329,0.1314688450389458
DataSet_03_114,HDAC3,0.7741514360313316,0.283289817232376,0.13268640585330582
DataSet_03_116,HES6,0.37467362924281983,0.28067885117493474,0.0669675468547325
DataSet_03_117,HES6,0.22845953002610966,0.206266318537859,0.13904332834266825
DataSet_03_119,HIF1A,0.18407310704960836,0.19843342036553524,0.1133083044702479
DataSet_03_122,HINFP,0.27284595300261094,0.639686684073107,0.14576895155795488
DataSet_03_123,HINFP,0.13185378590078328,0.52088772845953,0.09397122042941124
DataSet_03_124,HMGA1,0.031331592689295036,0.09399477806788512,0.07605985573990232
DataSet_03_127,HOXB7,0.4621409921671018,0.5261096605744126,0.12767284686577188
DataSet_03_129,HSF1,0.0039164490861618795,0.04177545691906005,0.10852352247233966
DataSet_03_143,JUN,0.013054830287206266,0.024804177545691905,0.1460260057985557
DataSet_03_148,KLF5,0.0026109660574412533,0.02610966057441253,0.12241288282550158
DataSet_03_149,KLF5,0.03524804177545692,0.01174934725848564,0.1615290822541369
DataSet_03_150,KLF5,0.5574412532637075,0.7872062663185379,0.19663744116359172
DataSet_03_151,KLF5,0.2206266318537859,0.16579634464751958,0.16463331325635408
DataSet_03_155,MAFB,0.06788511749347259,0.30548302872062666,0.1130143393680067
DataSet_03_165,MITF,0.009138381201044387,0.0195822454308094,0.22780854214021692
DataSet_03_168,MITF,0.05483028720626632,0.08746736292428199,0.7818666666465101
DataSet_03_173,MYB,0.05221932114882506,0.17362924281984335,0.05228908069666479
DataSet_03_178,MYC,0.0013054830287206266,0.0026109660574412533,0.11668630670229115
DataSet_03_189,NCOA1,0.005221932114882507,0.006527415143603133,0.005850290042258086
DataSet_03_190,NCOA2,0.005221932114882507,0.015665796344647518,0.008967718833515662
DataSet_03_191,NCOA3,0.660574412532637,0.9060052219321149,0.015641628445360614
DataSet_03_192,NCOR1,0.015665796344647518,0.37597911227154046,0.053893825967151504
DataSet_03_202,NR2F2,0.0013054830287206266,0.033942558746736295,0.13791828084479035
DataSet_03_205,PARK7,0.4908616187989556,0.4621409921671018,0.002774957855534317
DataSet_03_207,PBX1,0.24151436031331594,0.5926892950391645,0.08317392935663208
DataSet_03_208,PBX1,0.3720626631853786,0.39947780678851175,0.11226168206217105
DataSet_03_209,PBX1,0.5691906005221932,0.5691906005221932,0.10398174699230765
DataSet_03_214,PPARG,0.02349869451697128,0.015665796344647518,0.1511435013796948
DataSet_03_217,PRRX1,0.7036553524804178,0.7271540469973891,0.2659786566433325
DataSet_03_222,RELA,0.013054830287206266,0.016971279373368148,0.0771763462321826
DataSet_03_223,RELA,0.006527415143603133,0.016971279373368148,0.07503848043679971
DataSet_03_225,RELB,0.1370757180156658,0.2885117493472585,0.1922336285594431
DataSet_03_228,REST,0.0013054830287206266,0.0013054830287206266,0.08538895043942278
DataSet_03_229,SATB1,0.0026109660574412533,0.01174934725848564,0.036513671129106834
DataSet_03_235,SMARCA4,0.9503916449086162,0.9425587467362925,0.001791151411217446
DataSet_03_236,SMARCC1,0.007832898172323759,0.11357702349869452,0.00018720913959107988
