exp,tf,self_edge_weight,has_self_edge,sign,regulon_size,type_p,ulm,no_self-edge,masked
DataSet_01_177,NR2F2,1.0,True,+1,79,-1,0.0195822454308094,0.3381201044386423,0.3342036553524804
DataSet_01_180,STAT3,1.0,True,+1,425,-1,0.9595300261096605,0.9725848563968669,0.9725848563968669
DataSet_01_183,TP63,1.0,True,+1,198,-1,0.033942558746736295,0.04308093994778068,0.04308093994778068
DataSet_01_184,STAT3,1.0,True,+1,425,-1,0.005221932114882507,0.006527415143603133,0.006527415143603133
DataSet_01_185,TCF4,0.0,False,none,56,-1,0.7650130548302873,0.7650130548302873,0.7689295039164491
DataSet_01_189,SPDEF,1.0,True,+1,19,-1,0.22845953002610966,0.9347258485639687,0.9308093994778068
DataSet_01_192,AR,1.0,True,+1,493,-1,0.360313315926893,0.46866840731070497,0.43994778067885115
DataSet_01_196,TP63,1.0,True,+1,198,-1,0.11357702349869452,0.12924281984334204,0.1279373368146214
DataSet_01_198,TP63,1.0,True,+1,198,-1,0.07571801566579635,0.0926892950391645,0.09399477806788512
DataSet_01_200,TP63,1.0,True,+1,198,-1,0.23237597911227154,0.28067885117493474,0.2793733681462141
DataSet_01_203,XBP1,1.0,True,+1,53,-1,0.195822454308094,0.45691906005221933,0.45822454308093996
DataSet_01_204,XBP1,1.0,True,+1,53,-1,0.022193211488250653,0.07049608355091384,0.07180156657963446
DataSet_01_211,REST,0.0,False,none,73,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_213,SOX11,0.0,False,none,11,-1,0.11879895561357702,0.11879895561357702,0.11879895561357702
DataSet_01_214,BCLAF1,1.0,True,+1,8,-1,0.020887728459530026,0.5496083550913838,0.5274151436031331
DataSet_01_217,TAL1,1.0,True,+1,94,-1,0.08485639686684072,0.15013054830287206,0.1475195822454308
DataSet_01_220,HIF1A,-1.0,True,-1,447,-1,0.01174934725848564,0.009138381201044387,0.007832898172323759
DataSet_01_222,KLF9,0.0,False,none,25,-1,0.43733681462140994,0.43733681462140994,0.43733681462140994
DataSet_01_223,FOXM1,1.0,True,+1,97,-1,0.04308093994778068,0.2519582245430809,0.24673629242819844
DataSet_01_224,HIF1A,-1.0,True,-1,447,-1,0.028720626631853787,0.016971279373368148,0.016971279373368148
DataSet_01_226,KLF2,1.0,True,+1,66,-1,0.4451697127937337,0.5809399477806788,0.5757180156657964
DataSet_01_228,HIF1A,-1.0,True,-1,447,-1,0.014360313315926894,0.007832898172323759,0.005221932114882507
DataSet_01_233,FOXA1,0.0,False,none,69,-1,0.14490861618798956,0.14490861618798956,0.13968668407310705
DataSet_01_238,NFYB,0.0,False,none,40,-1,0.08746736292428199,0.08746736292428199,0.08746736292428199
DataSet_01_244,ETS1,1.0,True,+1,206,-1,0.031331592689295036,0.0639686684073107,0.05613577023498695
DataSet_01_246,TLX1,1.0,True,+1,10,-1,0.04308093994778068,0.9660574412532638,0.95822454308094
DataSet_01_247,GATA6,1.0,True,+1,84,-1,0.06135770234986945,0.10704960835509138,0.10443864229765012
DataSet_01_248,SMAD2,0.0,False,none,103,-1,0.1801566579634465,0.1801566579634465,0.17754569190600522
DataSet_01_255,YBX1,1.0,True,+1,91,-1,0.5052219321148825,0.6710182767624021,0.6710182767624021
DataSet_01_256,YBX1,1.0,True,+1,91,-1,0.028720626631853787,0.12663185378590078,0.12402088772845953
DataSet_01_257,YBX1,1.0,True,+1,91,-1,0.6736292428198434,0.7480417754569191,0.7467362924281984
DataSet_01_258,YBX1,1.0,True,+1,91,-1,0.07441253263707572,0.2245430809399478,0.2258485639686684
DataSet_01_260,SOX4,1.0,True,+1,22,-1,0.02349869451697128,0.1762402088772846,0.17885117493472585
DataSet_01_261,NFKB2,1.0,True,+1,73,-1,0.06919060052219321,0.2741514360313316,0.2793733681462141
DataSet_01_267,FOXO3,1.0,True,+1,191,-1,0.20887728459530025,0.3002610966057441,0.2989556135770235
DataSet_01_269,SIX4,0.0,False,none,7,-1,0.5718015665796344,0.5718015665796344,0.5718015665796344
DataSet_01_277,SALL4,1.0,True,+1,21,-1,0.25326370757180156,0.5796344647519582,0.587467362924282
DataSet_01_280,ESRRA,1.0,True,+1,49,-1,0.1409921671018277,0.2885117493472585,0.2950391644908616
DataSet_01_281,MSX1,-1.0,True,-1,26,-1,0.14882506527415143,0.031331592689295036,0.03263707571801567
DataSet_01_282,IRF7,0.0,False,none,31,-1,0.3198433420365535,0.3198433420365535,0.3237597911227154
DataSet_01_283,AHR,1.0,True,+1,191,-1,0.031331592689295036,0.0391644908616188,0.037859007832898174
DataSet_01_295,TFAP4,1.0,True,+1,37,-1,0.4621409921671018,0.5052219321148825,0.5796344647519582
DataSet_01_299,SOX7,0.0,False,none,6,-1,0.12532637075718014,0.12532637075718014,0.12532637075718014
DataSet_01_300,SOX17,1.0,True,+1,45,-1,0.0587467362924282,0.11488250652741515,0.11618798955613577
DataSet_01_304,ETV5,0.0,False,none,23,-1,0.9738903394255874,0.9738903394255874,0.9738903394255874
DataSet_01_305,HOXA5,0.0,False,none,16,-1,0.4308093994778068,0.4308093994778068,0.42950391644908614
DataSet_01_306,NR2E1,-1.0,True,-1,17,-1,0.2349869451697128,0.09530026109660575,0.097911227154047
DataSet_01_308,SOX9,1.0,True,+1,104,-1,0.13838120104438642,0.17754569190600522,0.17493472584856398
DataSet_01_309,SOX9,1.0,True,+1,104,-1,0.13838120104438642,0.17754569190600522,0.17493472584856398
DataSet_01_312,TFAP2C,1.0,True,+1,34,-1,0.03263707571801567,0.1475195822454308,0.14882506527415143
DataSet_01_318,ELK3,0.0,False,none,27,-1,0.44386422976501305,0.44386422976501305,0.44386422976501305
DataSet_01_324,MYC,-1.0,True,-1,845,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_327,TP63,1.0,True,+1,198,-1,0.015665796344647518,0.03524804177545692,0.033942558746736295
DataSet_01_330,TP63,1.0,True,+1,198,-1,0.015665796344647518,0.03524804177545692,0.033942558746736295
DataSet_01_332,TOX,1.0,True,+1,5,-1,0.014360313315926894,0.3733681462140992,0.37989556135770236
DataSet_01_333,HOXC6,0.0,False,none,12,-1,0.3342036553524804,0.3342036553524804,0.3328981723237598
DataSet_01_336,GRHL3,0.0,False,none,28,-1,0.2010443864229765,0.2010443864229765,0.2010443864229765
