exp,tf,has_self_edge,in_matrix,ulm,prop_ulm,no_self-edge,prop_no_self-edge,no_other_regulon,prop_no_other_regulon,gene_off_network,prop_gene_off_network,masked,prop_masked
DataSet_01_060,NFE2L2,True,True,0.0026109660574412533,0.005221932114882507,0.0026109660574412533,0.005221932114882507,0.0026109660574412533,0.005221932114882507,0.0026109660574412533,0.005221932114882507,0.0026109660574412533,0.005221932114882507
DataSet_01_068,TP53,True,True,0.057441253263707574,0.0013054830287206266,0.0639686684073107,0.0013054830287206266,0.037859007832898174,0.9921671018276762,0.04569190600522193,0.9921671018276762,0.044386422976501305,0.9908616187989556
DataSet_01_071,ELF5,False,True,0.4216710182767624,0.3302872062663185,0.4216710182767624,0.3302872062663185,0.4216710182767624,0.3302872062663185,0.4216710182767624,0.3302872062663185,0.4216710182767624,0.33159268929503916
DataSet_01_073,ZNF148,True,True,0.0026109660574412533,0.057441253263707574,0.007832898172323759,0.13054830287206268,0.0026109660574412533,0.07963446475195822,0.007832898172323759,0.17885117493472585,0.007832898172323759,0.185378590078329
DataSet_01_074,CEBPD,True,True,0.23237597911227154,0.02610966057441253,0.12924281984334204,0.02610966057441253,0.22845953002610966,0.04308093994778068,0.12532637075718014,0.0391644908616188,0.12532637075718014,0.04046997389033943
DataSet_01_075,CEBPZ,False,True,0.5221932114882507,0.6240208877284595,0.5221932114882507,0.6240208877284595,0.5221932114882507,0.6906005221932114,0.5221932114882507,0.6906005221932114,0.5221932114882507,0.6919060052219321
DataSet_01_076,ETS1,True,True,0.4425587467362924,0.0639686684073107,0.5300261096605744,0.06657963446475196,0.43994778067885115,0.13185378590078328,0.5300261096605744,0.13446475195822455,0.5352480417754569,0.13446475195822455
DataSet_01_077,FOXM1,True,True,0.2454308093994778,0.12924281984334204,0.38642297650130547,0.13446475195822455,0.24151436031331594,0.18276762402088773,0.3838120104438642,0.1906005221932115,0.3877284595300261,0.19321148825065274
DataSet_01_078,HSF2,True,True,0.10052219321148825,0.030026109660574413,0.28067885117493474,0.04699738903394256,0.10052219321148825,0.05352480417754569,0.28067885117493474,0.08485639686684072,0.28720626631853785,0.08746736292428199
DataSet_01_079,MITF,True,True,0.1566579634464752,0.006527415143603133,0.37597911227154046,0.007832898172323759,0.14882506527415143,0.16840731070496084,0.3720626631853786,0.22845953002610966,0.3720626631853786,0.24412532637075718
DataSet_01_080,RELA,True,True,0.0391644908616188,0.016971279373368148,0.04177545691906005,0.016971279373368148,0.03655352480417755,0.031331592689295036,0.04046997389033943,0.031331592689295036,0.04046997389033943,0.031331592689295036
DataSet_01_081,SP1,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0039164490861618795,0.0013054830287206266,0.0039164490861618795,0.0013054830287206266,0.0039164490861618795
DataSet_01_083,STAT1,True,True,0.2885117493472585,0.06527415143603134,0.3629242819843342,0.06657963446475196,0.283289817232376,0.12140992167101827,0.35900783289817234,0.1227154046997389,0.35900783289817234,0.12663185378590078
DataSet_01_084,STAT3,True,True,0.12924281984334204,0.04177545691906005,0.16579634464751958,0.04177545691906005,0.12663185378590078,0.21409921671018275,0.1618798955613577,0.23368146214099217,0.1618798955613577,0.2519582245430809
DataSet_01_085,STAT6,True,True,0.23890339425587467,0.15274151436031333,0.3198433420365535,0.16057441253263707,0.23890339425587467,0.17754569190600522,0.3198433420365535,0.1814621409921671,0.3224543080939948,0.18276762402088773
DataSet_01_086,HIF1A,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.007832898172323759,0.0013054830287206266,0.007832898172323759,0.0013054830287206266,0.007832898172323759
DataSet_01_088,FOXP1,True,True,0.07180156657963446,0.36161879895561355,0.16057441253263707,0.47127937336814624,0.07180156657963446,0.4490861618798956,0.16057441253263707,0.5509138381201044,0.16840731070496084,0.5522193211488251
DataSet_01_089,NR2F2,True,True,0.45430809399477806,0.06135770234986945,0.6932114882506527,0.07180156657963446,0.45300261096605743,0.1475195822454308,0.6932114882506527,0.17885117493472585,0.6932114882506527,0.17885117493472585
DataSet_01_090,NR2F2,True,True,0.4281984334203655,0.6070496083550914,0.5509138381201044,0.6422976501305483,0.4281984334203655,0.7075718015665796,0.5483028720626631,0.7284595300261096,0.5469973890339426,0.7258485639686684
DataSet_01_091,ETV6,False,True,0.9778067885117493,0.881201044386423,0.9778067885117493,0.881201044386423,0.9765013054830287,0.9556135770234987,0.9765013054830287,0.9556135770234987,0.9765013054830287,0.9543080939947781
DataSet_01_094,NANOG,True,True,0.07571801566579635,0.009138381201044387,0.20234986945169714,0.009138381201044387,0.07180156657963446,0.03524804177545692,0.19712793733681463,0.04177545691906005,0.20757180156657964,0.050913838120104436
DataSet_01_095,POU5F1,True,True,0.007832898172323759,0.0013054830287206266,0.014360313315926894,0.0013054830287206266,0.007832898172323759,0.4869451697127937,0.010443864229765013,0.5339425587467362,0.010443864229765013,0.5156657963446475
DataSet_01_096,SOX2,True,True,0.0013054830287206266,0.0013054830287206266,0.006527415143603133,0.0013054830287206266,0.0013054830287206266,0.1475195822454308,0.0026109660574412533,0.3433420365535248,0.0026109660574412533,0.3472584856396867
DataSet_01_098,SALL4,True,True,0.06266318537859007,0.020887728459530026,0.2558746736292428,0.030026109660574413,0.06135770234986945,0.04046997389033943,0.2558746736292428,0.06657963446475196,0.26240208877284593,0.06788511749347259
DataSet_01_099,FOS,True,True,0.8838120104438643,0.8002610966057441,0.8668407310704961,0.7976501305483029,0.8838120104438643,0.9817232375979112,0.8681462140992167,0.9817232375979112,0.8681462140992167,0.97911227154047
DataSet_01_101,IRF6,True,True,0.1279373368146214,0.5639686684073107,0.5535248041775457,0.6174934725848564,0.1279373368146214,0.5718015665796344,0.5535248041775457,0.6383812010443864,0.5469973890339426,0.6357702349869452
DataSet_01_103,HNF1B,True,True,0.018276762402088774,0.13968668407310705,0.0195822454308094,0.16057441253263707,0.018276762402088774,0.2519582245430809,0.0195822454308094,0.293733681462141,0.020887728459530026,0.293733681462141
DataSet_01_105,FOXA1,False,True,0.04960835509138381,0.06657963446475196,0.04960835509138381,0.06657963446475196,0.04960835509138381,0.17493472584856398,0.04960835509138381,0.17493472584856398,0.04960835509138381,0.21409921671018275
DataSet_01_112,HSF1,True,True,0.2402088772845953,0.08877284595300261,0.3838120104438642,0.1122715404699739,0.23890339425587467,0.4869451697127937,0.381201044386423,0.566579634464752,0.381201044386423,0.5652741514360313
DataSet_01_114,ARID1A,False,True,0.7898172323759791,0.5052219321148825,0.7898172323759791,0.5052219321148825,0.7898172323759791,0.5052219321148825,0.7898172323759791,0.5052219321148825,0.7898172323759791,0.5065274151436031
DataSet_01_117,ID1,True,True,0.7924281984334204,0.8851174934725848,0.835509138381201,0.8864229765013055,0.7911227154046997,0.9138381201044387,0.8342036553524804,0.9151436031331592,0.8211488250652742,0.9138381201044387
DataSet_01_118,ID1,True,True,0.0835509138381201,0.005221932114882507,0.16971279373368145,0.005221932114882507,0.08093994778067885,0.09138381201044386,0.16449086161879894,0.10966057441253264,0.16579634464751958,0.10835509138381201
DataSet_01_121,ZIC2,False,True,0.5182767624020888,0.41906005221932113,0.5182767624020888,0.41906005221932113,0.5182767624020888,0.4308093994778068,0.5182767624020888,0.4308093994778068,0.5182767624020888,0.4308093994778068
DataSet_01_123,ZNF91,False,True,0.4699738903394256,0.028720626631853787,0.4699738903394256,0.028720626631853787,0.4699738903394256,0.07963446475195822,0.4699738903394256,0.07963446475195822,0.4699738903394256,0.07963446475195822
DataSet_01_132,EGR4,False,True,0.05221932114882506,0.0783289817232376,0.05221932114882506,0.0783289817232376,0.05221932114882506,0.0783289817232376,0.05221932114882506,0.0783289817232376,0.05221932114882506,0.07963446475195822
DataSet_01_135,SPDEF,True,True,0.04960835509138381,0.3133159268929504,0.14490861618798956,0.42689295039164493,0.04960835509138381,0.4255874673629243,0.14490861618798956,0.48172323759791125,0.1514360313315927,0.47911227154047
DataSet_01_136,REST,False,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0026109660574412533,0.0013054830287206266,0.0026109660574412533,0.0013054830287206266,0.0026109660574412533
DataSet_01_138,IKZF1,False,True,0.9673629242819843,0.39947780678851175,0.9673629242819843,0.39947780678851175,0.9673629242819843,0.5091383812010444,0.9673629242819843,0.5091383812010444,0.9673629242819843,0.4960835509138381
DataSet_01_142,LEF1,True,True,0.028720626631853787,0.0039164490861618795,0.11618798955613577,0.006527415143603133,0.0195822454308094,0.07180156657963446,0.11096605744125326,0.1031331592689295,0.10966057441253264,0.10052219321148825
DataSet_01_145,REST,False,True,0.0013054830287206266,0.01174934725848564,0.0013054830287206266,0.01174934725848564,0.0013054830287206266,0.02349869451697128,0.0013054830287206266,0.02349869451697128,0.0013054830287206266,0.02349869451697128
DataSet_01_147,EHF,False,True,0.391644908616188,0.02610966057441253,0.391644908616188,0.02610966057441253,0.391644908616188,0.04177545691906005,0.391644908616188,0.04177545691906005,0.391644908616188,0.04177545691906005
DataSet_01_148,MYBL2,True,True,0.0926892950391645,0.13446475195822455,0.19973890339425587,0.15404699738903394,0.09138381201044386,0.21671018276762402,0.19973890339425587,0.2584856396866841,0.19973890339425587,0.2650130548302872
DataSet_01_149,ETS2,True,True,0.8407310704960835,0.6357702349869452,0.95822454308094,0.7493472584856397,0.8368146214099217,0.9543080939947781,0.95822454308094,0.9673629242819843,0.9569190600522193,0.9673629242819843
DataSet_01_150,TFAP2C,True,True,0.0039164490861618795,0.03524804177545692,0.007832898172323759,0.04308093994778068,0.0039164490861618795,0.04308093994778068,0.007832898172323759,0.04569190600522193,0.009138381201044387,0.050913838120104436
DataSet_01_151,TEAD4,False,True,0.03524804177545692,0.06527415143603134,0.03524804177545692,0.06527415143603134,0.03524804177545692,0.06527415143603134,0.03524804177545692,0.06527415143603134,0.03524804177545692,0.06527415143603134
DataSet_01_154,STAT1,True,True,0.412532637075718,0.1122715404699739,0.48433420365535246,0.1174934725848564,0.40992167101827676,0.35117493472584854,0.48433420365535246,0.36161879895561355,0.48433420365535246,0.36161879895561355
DataSet_01_155,HSF1,True,True,0.007832898172323759,0.007832898172323759,0.02741514360313316,0.009138381201044387,0.006527415143603133,0.02349869451697128,0.024804177545691905,0.02741514360313316,0.02610966057441253,0.028720626631853787
DataSet_01_156,HIF1A,True,True,0.1422976501305483,0.0013054830287206266,0.04699738903394256,0.0013054830287206266,0.12402088772845953,0.9347258485639687,0.031331592689295036,0.9268929503916449,0.031331592689295036,0.9268929503916449
DataSet_01_162,ELK1,False,True,0.2950391644908616,0.1370757180156658,0.2950391644908616,0.1370757180156658,0.2950391644908616,0.1566579634464752,0.2950391644908616,0.1566579634464752,0.2950391644908616,0.15274151436031333
DataSet_01_164,JUN,True,True,0.024804177545691905,0.006527415143603133,0.02741514360313316,0.006527415143603133,0.024804177545691905,0.009138381201044387,0.02741514360313316,0.009138381201044387,0.02741514360313316,0.009138381201044387
DataSet_01_165,MAF,True,True,0.02741514360313316,0.057441253263707574,0.04699738903394256,0.06527415143603134,0.02610966057441253,0.1227154046997389,0.04569190600522193,0.1475195822454308,0.04699738903394256,0.1514360313315927
DataSet_01_166,NFATC3,False,True,0.6932114882506527,0.6227154046997389,0.6932114882506527,0.6227154046997389,0.6932114882506527,0.6318537859007833,0.6932114882506527,0.6318537859007833,0.6932114882506527,0.6305483028720626
DataSet_01_168,STAT3,True,True,0.0026109660574412533,0.024804177545691905,0.0026109660574412533,0.024804177545691905,0.0026109660574412533,0.02741514360313316,0.0026109660574412533,0.02741514360313316,0.0026109660574412533,0.02741514360313316
DataSet_01_169,HOXB7,False,True,0.1122715404699739,0.04960835509138381,0.1122715404699739,0.04960835509138381,0.10704960835509138,0.10966057441253264,0.10704960835509138,0.10966057441253264,0.10704960835509138,0.11488250652741515
DataSet_01_170,HOXB7,False,True,0.9647519582245431,0.11096605744125326,0.9647519582245431,0.11096605744125326,0.9647519582245431,0.5639686684073107,0.9647519582245431,0.5639686684073107,0.9647519582245431,0.6109660574412533
DataSet_01_171,FOSL1,False,True,0.5234986945169713,0.9073107049608355,0.5234986945169713,0.9073107049608355,0.5195822454308094,0.9399477806788512,0.5195822454308094,0.9399477806788512,0.5195822454308094,0.9399477806788512
DataSet_01_173,ESRRG,True,True,0.12532637075718014,0.04569190600522193,0.26762402088772846,0.08877284595300261,0.1227154046997389,0.2258485639686684,0.26762402088772846,0.3433420365535248,0.26762402088772846,0.3472584856396867
DataSet_01_175,TP53,True,True,0.005221932114882507,0.0013054830287206266,0.009138381201044387,0.0013054830287206266,0.0039164490861618795,0.9934725848563969,0.005221932114882507,0.9934725848563969,0.005221932114882507,0.9921671018276762
DataSet_01_176,NR2F2,True,True,0.018276762402088774,0.0013054830287206266,0.2963446475195822,0.0013054830287206266,0.018276762402088774,0.048302872062663184,0.28720626631853785,0.25326370757180156,0.283289817232376,0.22715404699738903
DataSet_01_177,NR2F2,True,True,0.0195822454308094,0.009138381201044387,0.3381201044386423,0.022193211488250653,0.0195822454308094,0.4765013054830287,0.33159268929503916,0.8015665796344648,0.3342036553524804,0.8002610966057441
DataSet_01_180,STAT3,True,True,0.9595300261096605,0.8720626631853786,0.9725848563968669,0.8772845953002611,0.9608355091383812,0.9412532637075718,0.9725848563968669,0.9412532637075718,0.9725848563968669,0.9412532637075718
DataSet_01_183,TP63,True,True,0.033942558746736295,0.03263707571801567,0.04308093994778068,0.03263707571801567,0.033942558746736295,0.04308093994778068,0.04177545691906005,0.044386422976501305,0.04308093994778068,0.04569190600522193
DataSet_01_184,STAT3,True,True,0.005221932114882507,0.007832898172323759,0.006527415143603133,0.009138381201044387,0.005221932114882507,0.02741514360313316,0.006527415143603133,0.028720626631853787,0.006527415143603133,0.028720626631853787
DataSet_01_185,TCF4,False,True,0.7650130548302873,0.044386422976501305,0.7650130548302873,0.044386422976501305,0.7689295039164491,0.5704960835509139,0.7689295039164491,0.5704960835509139,0.7689295039164491,0.5913838120104439
DataSet_01_189,SPDEF,True,True,0.22845953002610966,0.018276762402088774,0.9347258485639687,0.13446475195822455,0.22715404699738903,0.10052219321148825,0.9347258485639687,0.489556135770235,0.9308093994778068,0.48172323759791125
DataSet_01_192,AR,True,True,0.360313315926893,0.0026109660574412533,0.46866840731070497,0.0026109660574412533,0.34073107049608353,0.7088772845953003,0.44386422976501305,0.7323759791122716,0.43994778067885115,0.7101827676240209
DataSet_01_196,TP63,True,True,0.11357702349869452,0.06527415143603134,0.12924281984334204,0.06788511749347259,0.1122715404699739,0.1122715404699739,0.1279373368146214,0.1227154046997389,0.1279373368146214,0.12140992167101827
DataSet_01_198,TP63,True,True,0.07571801566579635,0.0639686684073107,0.0926892950391645,0.0639686684073107,0.07571801566579635,0.08616187989556136,0.0926892950391645,0.08877284595300261,0.09399477806788512,0.09007832898172324
DataSet_01_200,TP63,True,True,0.23237597911227154,0.03524804177545692,0.28067885117493474,0.037859007832898174,0.2297650130548303,0.15274151436031333,0.2793733681462141,0.1814621409921671,0.2793733681462141,0.17754569190600522
DataSet_01_203,XBP1,True,True,0.195822454308094,0.030026109660574413,0.45691906005221933,0.04699738903394256,0.19451697127937337,0.18276762402088773,0.45691906005221933,0.2584856396866841,0.45822454308093996,0.26109660574412535
DataSet_01_204,XBP1,True,True,0.022193211488250653,0.03524804177545692,0.07049608355091384,0.06919060052219321,0.020887728459530026,0.5574412532637075,0.07180156657963446,0.6266318537859008,0.07180156657963446,0.6148825065274152
DataSet_01_211,REST,False,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_213,SOX11,False,True,0.11879895561357702,0.5443864229765013,0.11879895561357702,0.5443864229765013,0.11879895561357702,0.5443864229765013,0.11879895561357702,0.5443864229765013,0.11879895561357702,0.5443864229765013
DataSet_01_214,BCLAF1,True,True,0.020887728459530026,0.057441253263707574,0.5496083550913838,0.2010443864229765,0.020887728459530026,0.0731070496083551,0.5483028720626631,0.30809399477806787,0.5274151436031331,0.2950391644908616
DataSet_01_217,TAL1,True,True,0.08485639686684072,0.03655352480417755,0.15013054830287206,0.05483028720626632,0.0835509138381201,0.5221932114882507,0.1475195822454308,0.5626631853785901,0.1475195822454308,0.5626631853785901
DataSet_01_220,HIF1A,True,True,0.01174934725848564,0.0026109660574412533,0.009138381201044387,0.0026109660574412533,0.009138381201044387,0.04960835509138381,0.007832898172323759,0.04177545691906005,0.007832898172323759,0.037859007832898174
DataSet_01_222,KLF9,False,True,0.43733681462140994,0.06135770234986945,0.43733681462140994,0.06135770234986945,0.43733681462140994,0.17101827676240208,0.43733681462140994,0.17101827676240208,0.43733681462140994,0.17232375979112272
DataSet_01_223,FOXM1,True,True,0.04308093994778068,0.0013054830287206266,0.2519582245430809,0.0013054830287206266,0.04308093994778068,0.04569190600522193,0.24673629242819844,0.09660574412532637,0.24673629242819844,0.09399477806788512
DataSet_01_224,HIF1A,True,True,0.028720626631853787,0.0013054830287206266,0.016971279373368148,0.0013054830287206266,0.030026109660574413,0.933420365535248,0.016971279373368148,0.922976501305483,0.016971279373368148,0.9099216710182768
DataSet_01_226,KLF2,True,True,0.4451697127937337,0.8198433420365535,0.5809399477806788,0.8446475195822454,0.44386422976501305,0.8942558746736292,0.5796344647519582,0.9112271540469974,0.5757180156657964,0.9099216710182768
DataSet_01_228,HIF1A,True,True,0.014360313315926894,0.0013054830287206266,0.007832898172323759,0.0013054830287206266,0.007832898172323759,0.024804177545691905,0.005221932114882507,0.024804177545691905,0.005221932114882507,0.024804177545691905
DataSet_01_233,FOXA1,False,True,0.14490861618798956,0.7310704960835509,0.14490861618798956,0.7310704960835509,0.1422976501305483,0.8002610966057441,0.1422976501305483,0.8002610966057441,0.13968668407310705,0.7963446475195822
DataSet_01_238,NFYB,False,True,0.08746736292428199,0.37597911227154046,0.08746736292428199,0.37597911227154046,0.08746736292428199,0.37597911227154046,0.08746736292428199,0.37597911227154046,0.08746736292428199,0.37597911227154046
DataSet_01_244,ETS1,True,True,0.031331592689295036,0.007832898172323759,0.0639686684073107,0.009138381201044387,0.02741514360313316,0.050913838120104436,0.05613577023498695,0.0587467362924282,0.05613577023498695,0.06266318537859007
DataSet_01_246,TLX1,True,True,0.04308093994778068,0.016971279373368148,0.9660574412532638,0.13838120104438642,0.0391644908616188,0.27676240208877284,0.9634464751958225,0.9177545691906005,0.95822454308094,0.9164490861618799
DataSet_01_247,GATA6,True,True,0.06135770234986945,0.0195822454308094,0.10704960835509138,0.020887728459530026,0.06005221932114883,0.11879895561357702,0.1031331592689295,0.15796344647519583,0.10443864229765012,0.15796344647519583
DataSet_01_248,SMAD2,False,True,0.1801566579634465,0.08093994778067885,0.1801566579634465,0.08093994778067885,0.17754569190600522,0.2245430809399478,0.17754569190600522,0.2245430809399478,0.17754569190600522,0.2193211488250653
DataSet_01_255,YBX1,True,True,0.5052219321148825,0.30548302872062666,0.6710182767624021,0.35117493472584854,0.5052219321148825,0.6657963446475196,0.6710182767624021,0.7558746736292428,0.6710182767624021,0.7597911227154047
DataSet_01_256,YBX1,True,True,0.028720626631853787,0.0026109660574412533,0.12663185378590078,0.0039164490861618795,0.02741514360313316,0.031331592689295036,0.1227154046997389,0.06266318537859007,0.12402088772845953,0.06135770234986945
DataSet_01_257,YBX1,True,True,0.6736292428198434,0.35117493472584854,0.7480417754569191,0.4086161879895561,0.6723237597911227,0.6344647519582245,0.7467362924281984,0.6697127937336814,0.7467362924281984,0.6684073107049608
DataSet_01_258,YBX1,True,True,0.07441253263707572,0.010443864229765013,0.2245430809399478,0.01174934725848564,0.07180156657963446,0.06266318537859007,0.2245430809399478,0.11879895561357702,0.2258485639686684,0.12402088772845953
DataSet_01_260,SOX4,True,True,0.02349869451697128,0.007832898172323759,0.1762402088772846,0.0195822454308094,0.02349869451697128,0.048302872062663184,0.17362924281984335,0.15404699738903394,0.17885117493472585,0.15404699738903394
DataSet_01_261,NFKB2,True,True,0.06919060052219321,0.0195822454308094,0.2741514360313316,0.02349869451697128,0.0639686684073107,0.04699738903394256,0.2741514360313316,0.06135770234986945,0.2793733681462141,0.06135770234986945
DataSet_01_267,FOXO3,True,True,0.20887728459530025,0.6932114882506527,0.3002610966057441,0.7258485639686684,0.20496083550913838,0.881201044386423,0.29765013054830286,0.8877284595300261,0.2989556135770235,0.8877284595300261
DataSet_01_269,SIX4,False,True,0.5718015665796344,0.2924281984334204,0.5718015665796344,0.2924281984334204,0.5718015665796344,0.3472584856396867,0.5718015665796344,0.3472584856396867,0.5718015665796344,0.3472584856396867
DataSet_01_277,SALL4,True,True,0.25326370757180156,0.27676240208877284,0.5796344647519582,0.3276762402088773,0.2506527415143603,0.39947780678851175,0.5783289817232375,0.4908616187989556,0.587467362924282,0.4908616187989556
